Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,20,1998,20.5,7,0,0,35,29,0,16,19,32,0,1,0,202,16,27,37.2,Matches
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,28,1990,25.1,6,1,1,31,8,1,4,38,39,0,0,0,340,50,25,66.7,Matches
Everton Luiz\Everton-Luiz,br BRA,MF,SPAL,30,1988,3.5,5,0,0,9,5,0,0,3,7,0,0,0,28,2,1,66.7,Matches
Jordan Lukaku\Jordan-Lukaku,be BEL,MFDF,Lazio,24,1994,1.9,1,0,0,4,1,2,6,4,2,0,0,0,16,2,0,100,Matches
Saša Luki?\Sasa-Lukic,rs SRB,MF,Torino,21,1996,11,7,0,0,35,13,0,11,12,14,0,0,0,102,9,23,28.1,Matches
Senad Luli?\Senad-Lulic,ba BIH,DFMF,Lazio,32,1986,32.5,5,0,0,41,27,7,119,46,49,0,2,0,304,41,15,73.2,Matches
Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,21,1996,8.1,0,0,0,10,7,0,1,5,4,0,2,0,77,18,13,58.1,Matches
Lyanco\Lyanco,br BRA,DF,Torino,21,1997,1,0,0,0,1,1,0,0,2,1,0,0,0,10,1,2,33.3,Matches
Lyanco\Lyanco,br BRA,DF,Bologna,21,1997,12.4,2,1,1,11,3,2,0,20,15,0,0,0,158,30,23,56.6,Matches
Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,24,1993,9.2,1,0,0,9,2,1,26,15,9,0,0,0,78,11,9,55,Matches
Darwin Machís\Darwin-Machis,ve VEN,FWMF,Udinese,25,1993,5.1,2,0,0,7,12,0,20,0,4,0,0,0,42,2,5,28.6,Matches
Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,33,1984,20.7,4,1,1,37,39,0,4,20,35,0,2,0,229,12,19,38.7,Matches
Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,22,1995,16.8,2,0,0,20,12,0,0,14,13,0,0,0,118,28,18,60.9,Matches
Raffaele Maiello\Raffaele-Maiello,it ITA,MF,Frosinone,27,1991,22.7,4,0,0,12,40,0,25,25,31,0,0,0,302,12,11,52.2,Matches
Domenico Maietta\Domenico-Maietta,it ITA,DF,Empoli,35,1982,19,5,0,0,18,4,1,5,12,20,0,2,0,172,23,9,71.9,Matches
Nikola Maksimovi?\Nikola-Maksimovic,rs SRB,DF,Napoli,26,1991,15.3,4,0,0,11,17,2,1,11,18,0,0,0,153,28,28,50,Matches
Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,27,1991,20.1,3,0,0,25,23,3,72,34,36,0,0,0,195,17,24,41.5,Matches
Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Atalanta,22,1996,25,5,0,0,37,15,2,2,46,40,0,1,0,245,61,37,62.2,Matches
Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,21,1997,32.4,8,1,0,46,40,1,20,42,36,0,0,0,307,38,45,45.8,Matches
Mario Mandžuki?\Mario-Mandzukic,hr CRO,FW,Juventus,32,1986,22.4,4,0,0,35,34,8,26,12,22,1,0,0,112,54,48,52.9,Matches
Kostas Manolas\Kostas-Manolas,gr GRE,DF,Roma,27,1991,25.8,6,0,0,30,20,1,1,30,26,0,0,0,253,48,22,68.6,Matches
Juan Manuel Valencia\Juan-Manuel-Valencia,co COL,FW,Bologna,20,1998,0.3,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,Matches
Iván Marcano\Ivan-Marcano,es ESP,DF,Roma,31,1987,9,0,0,0,10,4,0,9,7,6,0,0,0,119,27,13,67.5,Matches
Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,35,1983,4,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,,Matches
Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,26,1992,31,9,0,0,40,25,0,6,23,24,0,0,0,296,50,20,71.4,Matches
João Mário\Joao-Mario,pt POR,MFFW,Inter,25,1993,12,2,0,0,12,23,0,31,7,18,0,0,0,125,3,6,33.3,Matches
Marlon\Marlon,br BRA,DF,Sassuolo,22,1995,16.8,4,1,1,19,8,0,4,12,19,0,0,0,123,14,25,35.9,Matches
Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,20,1997,14.9,4,0,0,27,43,3,17,4,1,0,0,0,52,19,37,33.9,Matches
Adam Maruši?\Adam-Marusic,me MNE,DFMF,Lazio,25,1992,23.5,2,1,0,32,18,2,51,17,24,0,0,0,177,24,23,51.1,Matches
Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,32,1986,20.4,5,0,0,17,18,2,5,37,17,1,1,1,263,21,17,55.3,Matches
Luca Matarese\Luca-Matarese,it ITA,FW,Frosinone,20,1998,0.2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,Matches
Alessandro Matri\Alessandro-Matri,it ITA,FW,Sassuolo,33,1984,6.7,3,0,0,6,5,10,6,4,1,0,0,0,18,6,22,21.4,Matches
Federico Mattiello\Federico-Mattiello,it ITA,MFDF,Bologna,23,1995,14.8,2,1,0,17,12,1,54,19,19,0,0,0,107,14,27,34.1,Matches
Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,31,1987,26.9,5,0,0,34,25,7,33,30,39,0,0,0,194,18,29,38.3,Matches
José Mauri\Jose-Mauri,it ITA,MF,Milan,22,1996,2.3,0,0,0,5,4,0,0,3,6,0,0,0,27,2,2,50,Matches
Stephy Mavididi\Stephy-Mavididi,eng ENG,FW,Juventus,20,1998,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Matches
Luca Mazzitelli\Luca-Mazzitelli,it ITA,MFFW,Genoa,22,1995,3.6,3,0,0,13,5,0,5,4,7,0,0,0,57,8,9,47.1,Matches
Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,23,1994,22.3,6,0,0,35,23,1,11,13,22,0,0,0,187,36,38,48.6,Matches
Levan Mchedlidze\Levan-Mchedlidze,ge GEO,FWDF,Empoli,28,1990,2.3,1,0,0,6,2,0,0,0,1,0,0,0,5,2,10,16.7,Matches
Iuri Medeiros\Iuri-Medeiros,pt POR,MFFW,Genoa,24,1994,1.2,0,0,0,1,2,0,2,0,0,0,0,0,2,1,1,50,Matches
Nicky Medja\Nicky-Medja,ch SUI,MF,Fiorentina,18,2000,0.5,1,0,0,1,0,1,0,1,0,0,0,0,2,0,4,0,Matches
Riccardo Meggiorini\Riccardo-Meggiorini,it ITA,FW,Chievo,32,1985,17.2,6,0,0,34,55,11,21,9,15,0,0,0,69,68,52,56.7,Matches
Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,24,1994,29.5,7,1,0,61,52,2,13,22,48,0,1,0,310,66,84,44,Matches
Alex Meret\Alex-Meret,it ITA,GK,Napoli,21,1997,12.8,0,1,0,2,4,0,0,0,0,0,1,0,42,0,0,,Matches
Dries Mertens\Dries-Mertens,be BEL,FW,Napoli,31,1987,25,1,0,0,33,28,14,55,10,20,0,0,0,104,7,14,33.3,Matches
Petar Mi?in\Petar-Micin,rs SRB,MF,Udinese,19,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Nikola Milenkovi?\Nikola-Milenkovic,rs SRB,DF,Fiorentina,20,1997,33.4,8,1,1,60,19,1,14,35,36,0,0,0,378,82,48,63.1,Matches
Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Napoli,24,1994,26.6,4,0,0,43,28,16,10,6,10,0,0,0,76,36,55,39.6,Matches
Sergej Milinkovi?-Savi?\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,23,1995,26.6,7,1,0,60,34,12,32,23,34,0,0,0,216,76,73,51,Matches
Vanja Milinkovi?-Savi?\Vanja-Milinkovic-Savic,rs SRB,GK,SPAL,21,1997,1.8,1,1,1,0,0,0,0,0,0,0,0,0,17,0,0,,Matches
Vincenzo Millico\Vincenzo-Millico,it ITA,MF,Torino,17,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Kevin Mirallas\Kevin-Mirallas,be BEL,FWMF,Fiorentina,30,1987,14.4,2,0,0,16,25,4,43,3,11,0,0,0,79,7,11,38.9,Matches
Miranda\Miranda,br BRA,DF,Inter,33,1984,12.9,3,0,0,20,10,1,1,13,13,0,2,0,124,17,11,60.7,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,35,1983,11,0,0,0,1,2,0,0,0,0,0,1,0,51,0,0,,Matches
Simone Missiroli\Simone-Missiroli,it ITA,MF,SPAL,32,1986,30.5,9,0,0,30,55,1,12,40,38,0,0,0,304,56,55,50.5,Matches
Cristian Molinaro\Cristian-Molinaro,it ITA,DFMF,Frosinone,35,1983,12.9,2,0,0,16,21,4,26,12,8,0,0,0,109,14,13,51.9,Matches
