Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
27,Dylan Bahamboula\Dylan-Bahamboula,cg CGO,FWMF,Dijon,22,1995,4,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
28,Farès Bahlouli\Fares-Bahlouli,fr FRA,MFFW,Lille,22,1995,11,2,307,3.4,1,0,1,0,0,2,0,0.29,0,0.29,0.29,0.29,0.3,0.3,0.9,1.2,0.1,0.26,0.36,0.1,0.36,Matches
29,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Strasbourg,25,1992,26,19,1663,18.5,7,1,7,0,0,5,0,0.38,0.05,0.43,0.38,0.43,6.4,6.4,1.3,7.8,0.35,0.07,0.42,0.35,0.42,Matches
30,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,22,1995,23,19,1470,16.3,8,5,8,0,0,3,2,0.49,0.31,0.8,0.49,0.8,5.5,5.5,1.8,7.4,0.34,0.11,0.45,0.34,0.45,Matches
31,Iván Balliu\Ivan-Balliu,al ALB,DF,Metz,25,1992,25,22,1951,21.7,0,1,0,0,0,6,0,0,0.05,0.05,0,0.05,0.2,0.2,1,1.2,0.01,0.04,0.05,0.01,0.05,Matches
32,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Lille,20,1997,27,25,2055,22.8,0,0,0,0,0,5,1,0,0,0,0,0,0.2,0.2,0.3,0.6,0.01,0.01,0.02,0.01,0.02,Matches
33,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,37,1980,21,9,860,9.6,1,2,1,0,0,3,0,0.1,0.21,0.31,0.1,0.31,0.2,0.2,1.2,1.3,0.02,0.12,0.14,0.02,0.14,Matches
34,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,26,1990,28,26,2272,25.2,18,1,12,6,7,11,1,0.71,0.04,0.75,0.48,0.51,15.6,10.1,4,14.1,0.62,0.16,0.77,0.4,0.56,Matches
35,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,27,1990,18,17,1533,17,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
36,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Saint-Étienne,21,1996,34,27,2571,28.6,7,6,3,4,4,1,0,0.25,0.21,0.46,0.11,0.32,9.1,6,6,12,0.32,0.21,0.53,0.21,0.42,Matches
37,Yacine Bammou\Yacine-Bammou,ma MAR,MFFW,Nantes,25,1991,16,10,727,8.1,3,0,3,0,0,2,2,0.37,0,0.37,0.37,0.37,1.1,1.1,0.2,1.4,0.14,0.03,0.17,0.14,0.17,Matches
38,Sekou Baradji\Sekou-Baradji,fr FRA,MF,Amiens,33,1984,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Nicolas Basin\Nicolas-Basin,fr FRA,DF,Metz,19,1998,5,3,314,3.5,1,0,1,0,0,1,0,0.29,0,0.29,0.29,0.29,0.2,0.2,0.2,0.4,0.07,0.05,0.12,0.07,0.12,Matches
40,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,FW,Monaco,20,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
41,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,29,1988,8,6,570,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0.6,0.6,0,0.6,0.1,0,0.1,0.1,0.1,Matches
42,Hervé Bazile\Herve-Bazile,ht HAI,FWMF,Caen,27,1990,19,10,878,9.8,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,2,2,1.5,3.5,0.2,0.15,0.36,0.2,0.36,Matches
43,Henri Bedimo\Henri-Bedimo,cm CMR,DFMF,Marseille,33,1984,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,François Bellugou\Francois-Bellugou,fr FRA,MF,Troyes,30,1987,30,27,2177,24.2,0,0,0,0,0,6,1,0,0,0,0,0,0.1,0.1,0.3,0.4,0,0.01,0.02,0,0.02,Matches
45,Chaouki Ben Saada\Chaouki-Ben-Saada,tn TUN,FWMF,Troyes,33,1984,16,2,341,3.8,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.2,0.08,0.25,0.33,0.08,0.33,Matches
46,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,33,1983,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Guingamp,26,1991,29,18,1650,18.3,3,3,3,0,0,2,0,0.16,0.16,0.33,0.16,0.33,2.1,2.1,3.3,5.4,0.12,0.18,0.3,0.12,0.3,Matches
48,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,24,1993,28,28,2520,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,22,1995,29,26,2342,26,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.08,0.03,0.08,Matches
50,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Lille,22,1994,31,30,2288,25.4,1,5,1,0,0,8,0,0.04,0.2,0.24,0.04,0.24,1.9,1.9,5.1,7,0.08,0.2,0.27,0.08,0.27,Matches
51,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Paris S-G,27,1990,22,19,1715,19.1,2,3,2,0,0,4,0,0.1,0.16,0.26,0.1,0.26,0.6,0.6,2.2,2.8,0.03,0.12,0.15,0.03,0.15,Matches
52,Robert Beri_\Robert-Beric,si SVN,FW,Saint-Étienne,26,1991,15,12,1041,11.6,7,1,6,1,2,0,0,0.61,0.09,0.69,0.52,0.61,5.2,3.7,1.1,4.8,0.45,0.1,0.55,0.32,0.42,Matches
53,Kévin Bérigaud\Kevin-Berigaud,fr FRA,MFFW,Montpellier,29,1988,5,4,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,0.22,0.27,0.49,0.22,0.49,Matches
54,Vincent Bessat\Vincent-Bessat,fr FRA,DFMF,Caen,31,1985,24,18,1570,17.4,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,1.7,2.2,0.03,0.1,0.12,0.03,0.12,Matches
55,Quentin Beunardeau\Quentin-Beunardeau,fr FRA,GK,Metz,23,1994,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Milan Bi_evac\Milan-Bisevac,rs SRB,DF,Metz,33,1983,10,10,710,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.06,0.01,0.07,0.06,0.07,Matches
57,Yves Bissouma\Yves-Bissouma,ml MLI,MFDF,Lille,20,1996,24,15,1562,17.4,2,0,2,0,0,3,0,0.12,0,0.12,0.12,0.12,2.3,2.3,0.5,2.9,0.14,0.03,0.17,0.14,0.17,Matches
58,Ludovic Blas\Ludovic-Blas,fr FRA,MF,Guingamp,19,1997,31,17,1792,19.9,3,2,3,0,0,3,2,0.15,0.1,0.25,0.15,0.25,3.4,3.4,1.3,4.7,0.17,0.07,0.24,0.17,0.24,Matches
59,Jérémy Blayac\Jeremy-Blayac,fr FRA,FWMF,Strasbourg,34,1983,25,7,916,10.2,3,1,3,0,0,2,0,0.29,0.1,0.39,0.29,0.39,4.7,4.7,1.5,6.2,0.47,0.15,0.62,0.47,0.62,Matches
60,Alexis Blin\Alexis-Blin,fr FRA,MF,Toulouse,20,1996,26,20,1886,21,1,3,1,0,0,5,0,0.05,0.14,0.19,0.05,0.19,1,1,1.1,2.1,0.05,0.05,0.1,0.05,0.1,Matches
61,Yann Bodiger\Yann-Bodiger,fr FRA,MFFW,Toulouse,22,1995,7,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,DFMF,Amiens,34,1982,13,3,397,4.4,1,0,1,0,0,2,0,0.23,0,0.23,0.23,0.23,0.9,0.9,0.4,1.4,0.21,0.1,0.32,0.21,0.32,Matches
63,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Toulouse,20,1997,6,1,179,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.04,0.01,0.04,Matches
64,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,Strasbourg,33,1983,4,3,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Monaco,21,1996,5,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.46,0.07,0.53,0.46,0.53,Matches
66,Jean-Christophe Bouet\Jean-Christophe-Bouet,fr FRA,GK,Amiens,34,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DF,Dijon,28,1988,6,3,336,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.4,0.01,0.09,0.1,0.01,0.1,Matches
68,Farid Boulaya\Farid-Boulaya,dz ALG,FWMF,Metz,24,1993,7,0,179,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.1,0.1,0.4,0.5,0.06,0.2,0.26,0.06,0.26,Matches
69,Emmanuel Bourgaud\Emmanuel-Bourgaud,fr FRA,MFFW,Amiens,29,1987,17,4,543,6,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,0.4,0.4,1.5,1.9,0.07,0.26,0.33,0.07,0.33,Matches
70,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,23,1994,37,35,3102,34.5,10,7,7,3,3,3,0,0.29,0.2,0.49,0.2,0.41,7.6,5.3,8.7,14,0.22,0.25,0.47,0.15,0.41,Matches
71,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Bordeaux,26,1991,14,11,916,10.2,4,1,4,0,0,3,0,0.39,0.1,0.49,0.39,0.49,3.5,3.5,1.9,5.4,0.35,0.19,0.53,0.35,0.53,Matches
72,Brandon\Brandon,es ESP,MFFW,Rennes,22,1995,11,3,358,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.4,0.4,0.6,0.9,0.1,0.15,0.24,0.1,0.24,Matches
73,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Guingamp,31,1985,37,36,3209,35.7,11,1,8,3,4,4,0,0.31,0.03,0.34,0.22,0.25,11.2,8.2,2.6,10.8,0.31,0.07,0.39,0.23,0.3,Matches
74,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,21,1996,13,10,897,10,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,Matches
75,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,34,1983,19,19,1652,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,27,1990,26,25,2259,25.1,7,5,6,1,3,3,0,0.28,0.2,0.48,0.24,0.44,7.8,5.5,6.3,11.8,0.31,0.25,0.56,0.22,0.47,Matches
77,Rémy Cabella\Remy-Cabella,fr FRA,MF,Marseille,27,1990,3,0,64,0.7,1,0,1,0,0,0,0,1.41,0,1.41,1.41,1.41,0.4,0.4,0,0.4,0.61,0,0.61,0.61,0.61,Matches
78,Cafú\Cafu,pt POR,MF,Metz,24,1993,10,8,679,7.5,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.03,0.02,0.05,0.03,0.05,Matches
79,Jonathan Cafu\Jonathan-Cafu,br BRA,FWMF,Bordeaux,26,1991,19,5,632,7,2,0,2,0,0,2,0,0.28,0,0.28,0.28,0.28,1.6,1.6,1,2.6,0.24,0.14,0.37,0.24,0.37,Matches
80,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MF,Toulouse,32,1985,20,18,1517,16.9,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.02,0.04,0.02,0.04,Matches
81,Abdoul Camara\Abdoul-Camara,gn GUI,FWMF,Guingamp,27,1990,14,12,975,10.8,2,1,2,0,0,0,0,0.18,0.09,0.28,0.18,0.28,1.3,1.3,0.8,2.1,0.13,0.08,0.21,0.13,0.21,Matches
82,Souleymane Camara\Souleymane-Camara,sn SEN,FW,Montpellier,34,1982,24,8,934,10.4,2,1,2,0,1,1,0,0.19,0.1,0.29,0.19,0.29,3.2,2.4,1.1,3.5,0.31,0.1,0.41,0.23,0.34,Matches
83,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFFW,Angers,30,1987,28,23,1882,20.9,2,1,2,0,0,3,0,0.1,0.05,0.14,0.1,0.14,2.9,2.9,2.5,5.5,0.14,0.12,0.26,0.14,0.26,Matches
84,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,23,1994,10,10,900,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,24,1993,28,27,2292,25.5,1,0,1,0,0,7,1,0.04,0,0.04,0.04,0.04,1.3,1.3,0.5,1.8,0.05,0.02,0.07,0.05,0.07,Matches
86,Guido Carrillo\Guido-Carrillo,ar ARG,FWMF,Monaco,26,1991,15,2,426,4.7,4,0,4,0,0,0,0,0.85,0,0.85,0.85,0.85,1.9,1.9,0.2,2.1,0.42,0.03,0.46,0.42,0.46,Matches
87,Thomas Carrique\Thomas-Carrique,fr FRA,DF,Bordeaux,18,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,30,1987,32,30,2581,28.7,28,5,25,3,5,3,0,0.98,0.17,1.15,0.87,1.05,23.1,19.6,4.8,24.4,0.8,0.17,0.97,0.68,0.85,Matches
89,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,30,1986,23,19,1612,17.9,0,2,0,0,0,4,0,0,0.11,0.11,0,0.11,0.2,0.2,1.6,1.8,0.01,0.09,0.1,0.01,0.1,Matches
90,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FWMF,Dijon,23,1994,34,26,2136,23.7,11,2,11,0,0,3,0,0.46,0.08,0.55,0.46,0.55,8.2,8.2,1.9,10.2,0.34,0.08,0.43,0.34,0.43,Matches
91,Charly Charrier\Charly-Charrier,fr FRA,MF,Amiens,31,1986,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.25,0.02,0.27,0.25,0.27,Matches
92,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Lyon,19,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.43,2.43,0,2.43,Matches
93,Saliou Ciss\Saliou-Ciss,sn SEN,DFFW,Angers,27,1989,3,2,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
94,Issa Cissokho\Issa-Cissokho,sn SEN,DF,Amiens,32,1985,19,18,1630,18.1,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.03,0.03,0.01,0.03,Matches
95,Marcus Coco\Marcus-Coco,fr FRA,FWMF,Guingamp,21,1996,29,17,1588,17.6,2,1,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17,2.1,2.1,1.3,3.4,0.12,0.08,0.19,0.12,0.19,Matches
96,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Metz,32,1984,38,38,3298,36.6,1,3,1,0,0,5,0,0.03,0.08,0.11,0.03,0.11,1.2,1.2,3.9,5.1,0.03,0.11,0.14,0.03,0.14,Matches
97,Racine Coly\Racine-Coly,sn SEN,DF,Nice,21,1995,7,7,617,6.9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.04,0,0.04,Matches
98,Alois Confais\Alois-Confais,fr FRA,MF,Troyes,20,1996,15,4,612,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
99,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,32,1985,32,29,2635,29.3,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Matches
100,Diego Contento\Diego-Contento,de GER,DFFW,Bordeaux,27,1990,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.2,Matches
101,Jérémy Cordoval\Jeremy-Cordoval,GPE,DF,Troyes,27,1990,11,10,919,10.2,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,0,0,0.5,0.5,0,0.05,0.05,0,0.05,Matches
102,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MFFW,Strasbourg,30,1987,18,15,1376,15.3,0,2,0,0,0,2,0,0,0.13,0.13,0,0.13,1.5,1.5,1.3,2.8,0.1,0.08,0.18,0.1,0.18,Matches
103,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWMF,Lyon,20,1996,30,13,1271,14.1,4,5,4,0,0,1,0,0.28,0.35,0.64,0.28,0.64,3,3,3.2,6.2,0.21,0.23,0.44,0.21,0.44,Matches
104,Quentin Cornette\Quentin-Cornette,fr FRA,FWMF,Amiens,23,1994,12,6,446,5,1,1,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,0.7,0.7,1.1,1.8,0.14,0.22,0.37,0.14,0.37,Matches
105,Nuno da Costa\Nuno-da-Costa,cv CPV,FWMF,Strasbourg,26,1991,26,22,1726,19.2,5,3,5,0,0,4,1,0.26,0.16,0.42,0.26,0.42,3.7,3.7,0.9,4.7,0.19,0.05,0.24,0.19,0.24,Matches
106,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,30,1987,36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
107,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,25,1991,8,3,341,3.8,1,1,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,0.3,0.3,0.4,0.7,0.09,0.1,0.18,0.09,0.18,Matches
108,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Angers,21,1996,20,8,839,9.3,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1.3,1.3,0.7,1.9,0.14,0.07,0.21,0.14,0.21,Matches
109,Nicolas Cozza\Nicolas-Cozza,fr FRA,DFMF,Montpellier,18,1999,9,7,578,6.4,1,2,1,0,0,2,0,0.16,0.31,0.47,0.16,0.47,0.2,0.2,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches
110,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Angers,22,1995,15,12,1023,11.4,1,1,1,0,0,6,1,0.09,0.09,0.18,0.09,0.18,1.9,1.9,0.8,2.7,0.17,0.07,0.24,0.17,0.24,Matches
111,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Caen,22,1995,11,9,726,8.1,2,1,2,0,0,2,0,0.25,0.12,0.37,0.25,0.37,1.5,1.5,0.2,1.7,0.18,0.03,0.21,0.18,0.21,Matches
112,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,22,1995,16,10,949,10.5,2,1,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,1.3,1.3,1.3,2.6,0.13,0.12,0.25,0.13,0.25,Matches
113,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Caen,29,1988,32,32,2836,31.5,4,0,4,0,0,7,0,0.13,0,0.13,0.13,0.13,2.7,2.7,0,2.7,0.09,0,0.09,0.09,0.09,Matches
114,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,20,1997,12,10,944,10.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
115,Bryan Dabo\Bryan-Dabo,bf BFA,MFFW,Saint-Étienne,25,1992,16,15,1284,14.3,2,0,1,1,2,10,0,0.14,0,0.14,0.07,0.07,3,1.5,0.7,2.2,0.21,0.05,0.26,0.11,0.15,Matches
116,Dante\Dante,br BRA,DF,Nice,33,1983,33,33,2920,32.4,1,0,1,0,0,10,2,0.03,0,0.03,0.03,0.03,3.2,3.2,0.4,3.6,0.1,0.01,0.11,0.1,0.11,Matches
