Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ben Watson\Ben-Watson,eng ENG,MF,Watford,32,1985,8,6,456,5.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.2,0,0.03,0.03,0,0.03,Matches
Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,26,1990,28,12,1194,13.3,5,2,5,0,0,1,0,0.38,0.15,0.53,0.38,0.53,4.4,4.4,1.1,5.5,0.33,0.08,0.42,0.33,0.42,Matches
Nahki Wells\Nahki-Wells,bm BER,FW,Burnley,27,1990,9,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.74,0,0.74,0.74,0.74,Matches
Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,27,1990,19,12,1111,12.3,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.8,0.8,0.6,1.4,0.06,0.05,0.11,0.06,0.11,Matches
Dean Whitehead\Dean-Whitehead,eng ENG,MF,Huddersfield,35,1982,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,26,1990,33,27,2387,26.5,1,2,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11,2.4,2.4,1.3,3.8,0.09,0.05,0.14,0.09,0.14,Matches
Ashley Williams\Ashley-Williams,wal WAL,DF,Everton,32,1984,24,20,1834,20.4,1,0,1,0,0,3,1,0.05,0,0.05,0.05,0.05,0.7,0.7,0,0.8,0.04,0,0.04,0.04,0.04,Matches
Danny Williams\Danny-Williams,us USA,MF,Huddersfield,28,1989,20,11,1124,12.5,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.03,0.04,0.07,0.03,0.07,Matches
Willian\Willian,br BRA,FWMF,Chelsea,28,1988,36,20,1890,21,6,7,5,1,1,1,0,0.29,0.33,0.62,0.24,0.57,4.9,4.1,5.3,9.4,0.23,0.25,0.48,0.2,0.45,Matches
Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,17,1999,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.22,0,0.22,0.22,0.22,Matches
Jack Wilshere\Jack-Wilshere,eng ENG,MF,Arsenal,25,1992,20,12,1193,13.3,1,3,1,0,0,6,0,0.08,0.23,0.3,0.08,0.3,1.1,1.1,2.3,3.4,0.08,0.17,0.25,0.08,0.25,Matches
Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,25,1992,28,23,1981,22,8,2,8,0,0,0,0,0.36,0.09,0.45,0.36,0.45,7.6,7.6,1.7,9.3,0.34,0.08,0.42,0.34,0.42,Matches
Kevin Wimmer\Kevin-Wimmer,at AUT,DF,Stoke City,24,1992,17,14,1323,14.7,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,21,1996,16,9,774,8.6,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,0.1,0.1,0.5,0.6,0.01,0.06,0.07,0.01,0.07,Matches
Chris Wood\Chris-Wood,nz NZL,FW,Burnley,25,1991,24,20,1624,18,10,1,10,0,0,1,0,0.55,0.06,0.61,0.55,0.61,6.8,6.8,0.8,7.6,0.38,0.04,0.42,0.38,0.42,Matches
Ben Woodburn\Ben-Woodburn,wal WAL,MF,Liverpool,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,24,1992,38,37,3260,36.2,1,7,1,0,0,10,0,0.03,0.19,0.22,0.03,0.22,2,2,3.9,5.9,0.06,0.11,0.16,0.06,0.16,Matches
Claudio Yacob\Claudio-Yacob,ar ARG,MF,West Brom,30,1987,16,9,903,10,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0,0.4,0.03,0,0.04,0.03,0.04,Matches
DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,24,1993,34,31,2845,31.6,0,2,0,0,0,5,0,0,0.06,0.06,0,0.06,0.2,0.2,1.9,2,0.01,0.06,0.06,0.01,0.06,Matches
Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,28,1988,24,23,2051,22.8,2,0,2,0,0,3,2,0.09,0,0.09,0.09,0.09,1.8,1.8,0.5,2.2,0.08,0.02,0.1,0.08,0.1,Matches
Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,32,1985,30,28,2442,27.1,2,4,2,0,0,7,0,0.07,0.15,0.22,0.07,0.22,0.8,0.8,3,3.8,0.03,0.11,0.14,0.03,0.14,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,West Ham,32,1985,37,37,3289,36.5,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,0.5,0.5,1.1,1.7,0.01,0.03,0.05,0.01,0.05,Matches
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,24,1992,29,28,2549,28.3,9,3,8,1,1,5,0,0.32,0.11,0.42,0.28,0.39,9.7,8.9,4.7,13.7,0.34,0.17,0.51,0.32,0.48,Matches
Davide Zappacosta\Davide-Zappacosta,it ITA,DFMF,Chelsea,25,1992,22,12,1098,12.2,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,1.5,1.5,1.7,3.3,0.12,0.14,0.27,0.12,0.27,Matches
Marvin Zeegelaar\Marvin-Zeegelaar,nl NED,DFMF,Watford,26,1990,12,12,994,11,0,1,0,0,0,4,1,0,0.09,0.09,0,0.09,0,0,0.6,0.6,0,0.05,0.05,0,0.05,Matches
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,20,1996,8,6,532,5.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.06,0.07,0.01,0.07,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Stoke City,22,1994,34,32,2888,32.1,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,1,1,0.9,1.9,0.03,0.03,0.06,0.03,0.06,Matches
