Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
45,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,19,1999,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,30,1988,1,0,74,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Paul Baysse\Paul-Baysse,fr FRA,DF,Caen,30,1988,20,20,1788,19.9,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0.2,1.1,0.05,0.01,0.06,0.05,0.06,Matches
48,Claudio Beauvue\Claudio-Beauvue,GPE,FW,Caen,30,1988,25,16,1499,16.7,3,0,2,1,1,1,0,0.18,0,0.18,0.12,0.12,4.7,3.9,1.5,5.5,0.28,0.09,0.38,0.24,0.33,Matches
49,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Rennes,31,1987,26,23,2033,22.6,7,2,5,2,3,1,0,0.31,0.09,0.4,0.22,0.31,6.3,4,3.1,7.1,0.28,0.14,0.42,0.18,0.32,Matches
50,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,34,1983,23,22,2058,22.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Nicolas Benezet\Nicolas-Benezet,fr FRA,MFFW,Guingamp,27,1991,25,18,1666,18.5,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.1,3.1,3.7,6.8,0.17,0.2,0.37,0.17,0.37,Matches
52,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,25,1993,35,35,3150,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Yassine Benrahou\Yassine-Benrahou,fr FRA,MFDF,Bordeaux,19,1999,4,1,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.21,0.05,0.25,0.21,0.25,Matches
54,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,23,1995,25,24,2152,23.9,1,0,1,0,0,9,0,0.04,0,0.04,0.04,0.04,0.9,0.9,1.1,2,0.04,0.04,0.08,0.04,0.08,Matches
55,Yassine Benzia\Yassine-Benzia,dz ALG,MF,Lille,23,1994,2,2,160,1.8,0,1,0,0,0,0,0,0,0.56,0.56,0,0.56,0.2,0.2,0.6,0.8,0.12,0.33,0.46,0.12,0.46,Matches
56,Robert Beri?\Robert-Beric,si SVN,FW,Saint-Étienne,27,1991,23,12,1175,13.1,9,1,9,0,0,0,0,0.69,0.08,0.77,0.69,0.77,6.6,6.6,1.3,7.8,0.5,0.1,0.6,0.5,0.6,Matches
57,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,21,1997,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches
58,Juan Bernat\Juan-Bernat,es ESP,DFMF,Paris S-G,25,1993,25,21,1836,20.4,1,2,1,0,0,6,1,0.05,0.1,0.15,0.05,0.15,0.7,0.7,3.4,4.2,0.04,0.17,0.2,0.04,0.2,Matches
59,Antoine Bernede\Antoine-Bernede,fr FRA,MF,Paris S-G,19,1999,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.04,0.06,0.02,0.06,Matches
60,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,20,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Giulian Biancone\Giulian-Biancone,fr FRA,DF,Monaco,18,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
62,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Guingamp,20,1997,34,27,2372,26.4,1,6,0,1,1,5,0,0.04,0.23,0.27,0,0.23,3.1,2.3,2.5,4.8,0.12,0.1,0.21,0.09,0.18,Matches
63,Alexis Blin\Alexis-Blin,fr FRA,MF,Amiens,21,1996,27,25,1990,22.1,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,0.3,0.3,0.4,0.7,0.01,0.02,0.03,0.01,0.03,Matches
64,Antonin Bobichon\Antonin-Bobichon,fr FRA,MF,Nîmes,22,1995,30,24,2153,23.9,7,2,7,0,1,2,0,0.29,0.08,0.38,0.29,0.38,2.7,1.9,2.3,4.2,0.11,0.1,0.21,0.08,0.18,Matches
65,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Toulouse,23,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,MFFW,Amiens,35,1982,26,10,1073,11.9,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,1.2,1.2,1,2.2,0.1,0.08,0.18,0.1,0.18,Matches
67,Sacha Boey\Sacha-Boey,fr FRA,DFMF,Rennes,17,2000,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Olivier Boscagli\Olivier-Boscagli,fr FRA,DFMF,Nice,20,1997,14,10,863,9.6,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,0.3,0.3,0.8,1.1,0.03,0.09,0.12,0.03,0.12,Matches
69,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Nantes,22,1996,29,14,1319,14.7,4,4,4,0,0,1,0,0.27,0.27,0.55,0.27,0.55,4.1,4.1,2.5,6.5,0.28,0.17,0.45,0.28,0.45,Matches
70,John Bostock\John-Bostock,tt TRI,MF,Toulouse,26,1992,16,10,984,10.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.7,0.01,0.05,0.06,0.01,0.06,Matches
71,Denis Bouanga\Denis-Bouanga,ga GAB,FWMF,Nîmes,23,1994,35,29,2633,29.3,8,2,8,0,0,5,0,0.27,0.07,0.34,0.27,0.34,7.3,7.3,2.8,10.1,0.25,0.1,0.34,0.25,0.34,Matches
72,Zacharie Boucher\Zacharie-Boucher,fr FRA,GK,Angers,26,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DFFW,Dijon,29,1988,3,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
74,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,24,1994,34,28,2425,26.9,6,5,4,2,3,5,0,0.22,0.19,0.41,0.15,0.33,5.8,3.6,2.8,6.4,0.21,0.1,0.32,0.13,0.24,Matches
75,Bilal Boutobba\Bilal-Boutobba,fr FRA,MF,Montpellier,19,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.19,0,0.19,0.19,0.19,Matches
76,Umut Bozok\Umut-Bozok,tr TUR,FW,Nîmes,21,1996,25,14,1235,13.7,2,3,2,0,1,1,0,0.15,0.22,0.36,0.15,0.36,3.5,2.8,2.1,4.9,0.26,0.16,0.41,0.2,0.36,Matches
77,Pedro Brazão\Pedro-Brazao,pt POR,FWDF,Nice,15,2002,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
78,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,23,1994,33,33,2924,32.5,2,2,2,0,0,9,1,0.06,0.06,0.12,0.06,0.12,2.7,2.7,0.6,3.3,0.08,0.02,0.1,0.08,0.1,Matches
79,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,32,1985,35,28,2495,27.7,7,3,6,1,1,1,0,0.25,0.11,0.36,0.22,0.32,7.5,6.7,2.5,9.3,0.27,0.09,0.36,0.24,0.33,Matches
80,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,40,1978,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,22,1996,17,15,1352,15,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.01,0.02,0.04,0.01,0.04,Matches
82,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,35,1983,36,36,3239,36,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
83,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,28,1990,34,34,2997,33.3,8,4,7,1,1,5,1,0.24,0.12,0.36,0.21,0.33,8.8,8,5.7,13.7,0.26,0.17,0.43,0.24,0.41,Matches
84,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,21,1997,29,26,2298,25.5,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches
85,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,21,1997,34,24,2095,23.3,7,3,7,0,0,5,0,0.3,0.13,0.43,0.3,0.43,3.5,3.5,3.9,7.4,0.15,0.17,0.32,0.15,0.32,Matches
86,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MFDF,Toulouse,33,1985,23,15,1431,15.9,1,0,1,0,0,8,1,0.06,0,0.06,0.06,0.06,0.4,0.4,0.4,0.7,0.02,0.02,0.05,0.02,0.05,Matches
87,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,24,1994,21,21,1890,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Duje ?aleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,21,1996,20,17,1547,17.2,0,0,0,0,0,1,2,0,0,0,0,0,0.8,0.8,0,0.8,0.04,0,0.05,0.04,0.05,Matches
89,Mahdi Camara\Mahdi-Camara,fr FRA,FW,Saint-Étienne,20,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,35,1982,12,0,137,1.5,3,0,3,0,0,0,0,1.97,0,1.97,1.97,1.97,1.3,1.3,0.1,1.4,0.86,0.05,0.91,0.86,0.91,Matches
91,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,15,2002,7,4,364,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.05,0.08,0.02,0.08,Matches
92,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,31,1987,26,21,1842,20.5,3,3,3,0,0,2,0,0.15,0.15,0.29,0.15,0.29,2.2,2.2,3.3,5.4,0.11,0.16,0.27,0.11,0.27,Matches
93,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,24,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,25,1993,35,35,3148,35,2,0,2,0,0,8,0,0.06,0,0.06,0.06,0.06,2,2,0.2,2.2,0.06,0.01,0.06,0.06,0.06,Matches
95,Louis Carnot\Louis-Carnot,fr FRA,MF,Guingamp,17,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.73,2.73,0,2.73,Matches
96,Lionel Carole\Lionel-Carole,fr FRA,DFMF,Strasbourg,27,1991,23,20,1727,19.2,0,3,0,0,0,2,0,0,0.16,0.16,0,0.16,0.7,0.7,2,2.7,0.04,0.11,0.14,0.04,0.14,Matches
97,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,20,1998,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,31,1987,21,20,1671,18.6,18,5,14,4,5,1,0,0.97,0.27,1.24,0.75,1.02,16.5,12.7,2.5,15.2,0.89,0.13,1.02,0.68,0.82,Matches
99,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,21,1997,34,34,2971,33,1,5,1,0,0,5,1,0.03,0.15,0.18,0.03,0.18,1.2,1.2,2.7,3.8,0.03,0.08,0.12,0.03,0.12,Matches
100,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,Monaco,28,1989,16,9,691,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.02,0.04,0.06,0.02,0.06,Matches
101,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,31,1986,21,21,1847,20.5,0,2,0,0,0,2,0,0,0.1,0.1,0,0.1,0.3,0.3,1.6,1.9,0.01,0.08,0.09,0.01,0.09,Matches
102,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FWMF,Dijon,24,1994,19,10,938,10.4,2,0,2,0,0,1,0,0.19,0,0.19,0.19,0.19,2.3,2.3,0.6,2.9,0.22,0.06,0.28,0.22,0.28,Matches
103,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,27,1991,36,36,3240,36,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1,1,4,5,0.03,0.11,0.14,0.03,0.14,Matches
104,Pablo Chavarría\Pablo-Chavarria,ar ARG,FW,Reims,30,1988,30,23,1973,21.9,5,3,5,0,0,3,0,0.23,0.14,0.36,0.23,0.36,6.6,6.6,1.8,8.4,0.3,0.08,0.38,0.3,0.38,Matches
105,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Lyon,20,1997,12,5,454,5,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.08,0.02,0.1,0.08,0.1,Matches
106,Laurent Ciman\Laurent-Ciman,be BEL,DF,Dijon,32,1985,9,7,717,8,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.03,0.04,0.07,0.03,0.07,Matches
107,Till Cissokho\Till-Cissokho,fr FRA,DF,Bordeaux,18,2000,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches
