Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Emil Berggreen\Emil-Berggreen,dk DEN,FW,Mainz 05,24,1993,14,6,669,7.4,4,2,4,0,0,2,0,0.54,0.27,0.81,0.54,0.81,2,2,0.4,2.4,0.27,0.06,0.33,0.27,0.33,Matches
Bernardo\Bernardo,br BRA,DF,RB Leipzig,22,1995,18,15,1350,15,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.8,1.4,0.04,0.06,0.09,0.04,0.09,Matches
Juan Bernat\Juan-Bernat,es ESP,DFFW,Bayern Munich,24,1993,11,11,888,9.9,0,2,0,0,0,1,0,0,0.2,0.2,0,0.2,0.7,0.7,1.3,2.1,0.07,0.13,0.21,0.07,0.21,Matches
Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,27,1990,9,7,548,6.1,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0,0.4,0.06,0.01,0.07,0.06,0.07,Matches
Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Köln,23,1993,22,17,1613,17.9,5,3,5,0,0,4,0,0.28,0.17,0.45,0.28,0.45,3.3,3.3,2.6,6,0.19,0.15,0.33,0.19,0.33,Matches
Pablo de Blasis\Pablo-de-Blasis,ar ARG,FWMF,Mainz 05,29,1988,25,20,1652,18.4,5,2,2,3,3,2,0,0.27,0.11,0.38,0.11,0.22,4.5,2.2,1.6,3.8,0.25,0.09,0.33,0.12,0.21,Matches
Danny Blum\Danny-Blum,de GER,FWDF,Eint Frankfurt,26,1991,2,0,29,0.3,1,0,1,0,0,0,0,3.1,0,3.1,3.1,3.1,0.8,0.8,0,0.8,2.51,0,2.51,2.51,2.51,Matches
Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,28,1988,19,19,1640,18.2,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.2,2.2,0.05,0.07,0.12,0.05,0.12,Matches
Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,MFFW,Eint Frankfurt,30,1987,31,27,2357,26.2,6,1,6,0,0,4,0,0.23,0.04,0.27,0.23,0.27,4.5,4.5,0.8,5.3,0.17,0.03,0.2,0.17,0.2,Matches
Raúl Bobadilla\Raul-Bobadilla,py PAR,FWMF,M'Gladbach,30,1987,13,5,449,5,0,0,0,0,0,2,0,0,0,0,0,0,1.7,1.7,0.5,2.2,0.34,0.11,0.44,0.34,0.44,Matches
Julian Brandt\Julian-Brandt,de GER,FWMF,Leverkusen,21,1996,34,26,2326,25.8,9,3,9,0,0,0,0,0.35,0.12,0.46,0.35,0.46,6,6,6.1,12.1,0.23,0.24,0.46,0.23,0.46,Matches
Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Stuttgart,19,1998,14,7,726,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,1.3,1.3,1.2,2.5,0.16,0.15,0.31,0.16,0.31,Matches
Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,19,1998,13,10,869,9.7,3,2,3,0,0,2,0,0.31,0.21,0.52,0.31,0.52,1.8,1.8,1,2.8,0.2,0.11,0.3,0.19,0.3,Matches
John Brooks\John-Brooks,us USA,DF,Wolfsburg,24,1993,9,9,727,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,29,1988,29,28,2500,27.8,1,5,0,1,1,0,0,0.04,0.18,0.22,0,0.18,1.7,0.9,3,3.9,0.06,0.11,0.17,0.03,0.14,Matches
