Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-276,2001,1,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-240,1995,24,845,9.4,4,2,4,0,0,2,0,0.43,0.21,0.64,0.43,0.64,Matches
Eden Hazard\Eden-Hazard,be BEL,FW,Real Madrid,30-112,1991,10,406,4.5,2,1,2,0,0,0,0,0.44,0.22,0.67,0.44,0.67,Matches
Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-315,1995,26,2181,24.2,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-037,1989,22,1846,20.5,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-010,1990,14,665,7.4,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-328,1993,30,2688,29.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-112,1998,29,2105,23.4,3,1,3,0,0,7,0,0.13,0.04,0.17,0.13,0.17,Matches
Pablo Hervías\Pablo-Hervias,es ESP,DFFW,Valladolid,28-052,1993,24,1073,11.9,0,4,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-231,1999,3,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-103,1988,13,928,10.3,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-062,1996,3,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Iglesias\Iglesias,es ESP,DFFW,Getafe,22-300,1998,6,372,4.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-102,1993,23,1003,11.1,7,0,4,3,3,2,0,0.63,0,0.63,0.36,0.36,Matches
Ilaix\Ilaix,es ESP,MF,Barcelona,18-100,2003,9,257,2.9,1,2,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,Matches
Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-052,1990,5,327,3.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-232,1993,20,1587,17.6,0,0,0,0,0,9,0,0,0,0,0,0,Matches
Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-331,1988,26,1720,19.1,1,0,1,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-220,1999,29,2000,22.2,14,2,14,0,1,4,0,0.63,0.09,0.72,0.63,0.72,Matches
Isco\Isco,es ESP,MFFW,Real Madrid,29-008,1992,22,825,9.2,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-189,1993,25,1159,12.9,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-189,1995,15,943,10.5,0,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-083,1995,23,803,8.9,3,2,1,2,2,1,0,0.34,0.22,0.56,0.11,0.34,Matches
Jason\Jason,es ESP,MFDF,Valencia,26-297,1994,16,436,4.8,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,23-148,1997,21,1262,14,5,0,5,0,0,5,0,0.36,0,0.36,0.36,0.36,Matches
Joaquín\Joaquin,es ESP,FWMF,Betis,39-282,1981,24,1142,12.7,2,6,2,0,0,1,0,0.16,0.47,0.63,0.16,0.63,Matches
John Joe\John-Joe,ie IRL,MFDF,Getafe,17-217,2003,6,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,23-352,1997,32,2721,30.2,3,4,3,0,0,4,0,0.1,0.13,0.23,0.1,0.23,Matches
Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,30-245,1990,30,1168,13,4,0,4,0,0,3,0,0.31,0,0.31,0.31,0.31,Matches
Jony\Jony,es ESP,MFFW,Osasuna,29-294,1991,17,757,8.4,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26-297,1994,31,2155,23.9,1,6,1,0,0,8,1,0.04,0.25,0.29,0.04,0.29,Matches
Josan\Josan,es ESP,MFDF,Elche,31-147,1989,28,1643,18.3,4,2,4,0,0,2,0,0.22,0.11,0.33,0.22,0.33,Matches
Willian José\Willian-Jose,br BRA,FW,Real Sociedad,29-157,1991,13,689,7.7,3,1,3,0,1,0,0,0.39,0.13,0.52,0.39,0.52,Matches
Joselu\Joselu,es ESP,FW,Alavés,31-033,1990,32,2655,29.5,8,2,6,2,4,1,0,0.27,0.07,0.34,0.2,0.27,Matches
Josema\Josema,es ESP,DF,Elche,24-327,1996,26,1805,20.1,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
Jota\Jota,es ESP,MF,Alavés,29-317,1991,20,1257,14,0,2,0,0,0,5,1,0,0.14,0.14,0,0.14,Matches
Jota\Jota,pt POR,FW,Valladolid,22-030,1999,13,494,5.5,1,0,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Real Madrid,23-127,1997,4,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juanmi\Juanmi,es ESP,FWMF,Betis,27-344,1993,16,604,6.7,2,0,2,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20-291,2000,30,1654,18.4,3,3,3,0,0,3,0,0.16,0.16,0.33,0.16,0.33,Matches
Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,28-109,1993,30,2229,24.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Damian K?dzior\Damian-Kadzior,pl POL,FWMF,Eibar,28-317,1992,6,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,20-069,2001,21,1039,11.5,0,4,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,19-252,2001,1,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kenedy\Kenedy,br BRA,FWMF,Granada,25-080,1996,27,1438,16,4,3,4,0,0,3,0,0.25,0.19,0.44,0.25,0.44,Matches
Kike\Kike,es ESP,FW,Eibar,31-155,1989,32,2646,29.4,9,2,9,0,0,3,1,0.31,0.07,0.37,0.31,0.37,Matches
Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21-304,1999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
