Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bernd Leno\Bernd-Leno,de GER,GK,Leverkusen,25,1992,33,33,2970,33,40,1.21,104,68,66.3,15,10,8,10,30.3,5,5,0,0,0,Matches
Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,30,1987,2,2,180,2,4,2,6,3,50,0,1,1,0,0,1,1,0,0,0,Matches
Christian Mathenia\Christian-Mathenia,de GER,GK,Hamburger SV,25,1992,24,24,2160,24,38,1.58,93,58,62.4,4,6,14,6,25,4,3,0,1,0,Matches
Florian Müller\Florian-Muller,de GER,GK,Mainz 05,19,1997,5,5,450,5,7,1.4,19,11,63.2,1,1,3,1,20,1,0,1,0,100,Matches
Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,23,1994,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,0,,Matches
Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,31,1986,3,3,270,3,2,0.67,8,6,75,2,0,1,2,66.7,0,0,0,0,,Matches
Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,20,1996,1,0,45,0.5,0,0,2,2,100,0,0,0,0,,0,0,0,0,,Matches
Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,Leverkusen,33,1984,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,1,0,1,0,100,Matches
Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34,34,3060,34,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3,Matches
Julian Pollersbeck\Julian-Pollersbeck,de GER,GK,Hamburger SV,22,1994,10,10,900,10,15,1.5,47,31,68.1,4,1,5,1,10,0,0,0,0,,Matches
Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,25,1992,33,33,2906,32.3,53,1.64,142,97,65.5,7,11,14,9,27.3,5,4,0,1,0,Matches
Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,29,1988,5,4,435,4.8,10,2.07,24,14,58.3,1,0,4,1,25,0,0,0,0,,Matches
Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,28,1988,30,30,2625,29.2,42,1.44,145,106,73.8,12,8,9,6,20,4,4,0,0,0,Matches
Tom Starke\Tom-Starke,de GER,GK,Bayern Munich,36,1981,2,2,180,2,0,0,6,6,100,2,0,0,2,100,0,0,0,0,,Matches
Philipp Tschauner\Philipp-Tschauner,de GER,GK,Hannover 96,31,1985,31,31,2790,31,45,1.45,152,107,71.7,9,9,13,5,16.1,3,2,0,1,0,Matches
Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,28,1988,29,29,2610,29,26,0.9,79,57,68.4,23,3,3,12,41.4,5,1,4,0,80,Matches
Roman Weidenfeller\Roman-Weidenfeller,de GER,GK,Dortmund,36,1980,2,1,91,1,4,3.96,7,2,42.9,0,1,0,0,0,0,0,0,0,,Matches
Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,22,1994,15,15,1350,15,27,1.8,66,44,65.2,3,5,7,2,13.3,4,4,0,0,0,Matches
Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Stuttgart,28,1989,34,34,3060,34,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3,Matches
