Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Senna Miangue\Senna-Miangue,be BEL,MFDF,Cagliari,20,1997,11,8,805,8.9,0,1,0,0,0,2,2,0,0.11,0.11,0,0.11,0.1,0.1,1.3,1.4,0.01,0.15,0.16,0.01,0.16,Matches
Francesco Migliore\Francesco-Migliore,it ITA,DF,Genoa,29,1988,6,4,329,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.06,0.07,0,0.07,Matches
Nikola Milenkovi?\Nikola-Milenkovic,rs SRB,DF,Fiorentina,19,1997,16,14,1254,13.9,0,0,0,0,0,1,2,0,0,0,0,0,0.8,0.8,0,0.9,0.06,0,0.06,0.06,0.06,Matches
Arkadiusz Milik\Arkadiusz-Milik,pl POL,FWMF,Napoli,23,1994,15,3,448,5,5,1,5,0,0,2,0,1,0.2,1.21,1,1.21,4,4,0.6,4.6,0.82,0.12,0.94,0.82,0.94,Matches
Sergej Milinkovi?-Savi?\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,22,1995,35,33,2844,31.6,12,4,12,0,0,8,0,0.38,0.13,0.51,0.38,0.51,5.9,5.9,5.1,11,0.19,0.16,0.35,0.19,0.35,Matches
Vanja Milinkovi?-Savi?\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,20,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Miranda\Miranda,br BRA,DF,Inter,32,1984,31,31,2726,30.3,0,0,0,0,0,8,0,0,0,0,0,0,0.8,0.8,0.3,1.1,0.03,0.01,0.04,0.03,0.04,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Bologna,34,1983,33,33,2970,33,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,Matches
Simone Missiroli\Simone-Missiroli,it ITA,MF,Sassuolo,31,1986,35,33,2918,32.4,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,2.3,2.3,2.5,4.8,0.07,0.08,0.15,0.07,0.15,Matches
Cristian Molinaro\Cristian-Molinaro,it ITA,DF,Torino,34,1983,20,17,1564,17.4,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0.1,0.1,1.1,1.2,0.01,0.06,0.07,0.01,0.07,Matches
Riccardo Montolivo\Riccardo-Montolivo,it ITA,MF,Milan,32,1985,18,12,1087,12.1,1,1,1,0,0,3,1,0.08,0.08,0.17,0.08,0.17,0.9,0.9,0.6,1.5,0.07,0.05,0.12,0.07,0.12,Matches
Luca Mora\Luca-Mora,it ITA,MF,SPAL,29,1988,17,10,934,10.4,0,1,0,0,0,5,0,0,0.1,0.1,0,0.1,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches
Héctor Moreno\Hector-Moreno,mx MEX,DF,Roma,29,1988,5,2,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches
Emiliano Moretti\Emiliano-Moretti,it ITA,DF,Torino,36,1981,22,19,1782,19.8,0,0,0,0,0,6,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches
Alessandro Murgia\Alessandro-Murgia,it ITA,MF,Lazio,20,1996,16,9,777,8.6,0,0,0,0,0,3,1,0,0,0,0,0,0.7,0.7,0.4,1.1,0.08,0.04,0.12,0.08,0.12,Matches
Nicola Murru\Nicola-Murru,it ITA,DF,Sampdoria,22,1994,20,16,1449,16.1,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.1,0.1,1.3,1.4,0.01,0.08,0.09,0.01,0.09,Matches
Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Milan,26,1990,15,12,1202,13.4,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,0.4,0.4,0.6,1,0.03,0.05,0.07,0.03,0.07,Matches
Yuto Nagatomo\Yuto-Nagatomo,jp JPN,DF,Inter,30,1986,11,9,790,8.8,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,Matches
