Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Hakan Çalhano?lu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,27-081,1994,28,2192,24.4,3,8,2,1,1,4,0,0.12,0.33,0.45,0.08,0.41,Matches
Fabrizio Caligara\Fabrizio-Caligara,it ITA,MF,Cagliari,21-018,2000,10,183,2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
José Callejón\Jose-Callejon,es ESP,FWMF,Fiorentina,34-078,1987,17,602,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
Antonio Candreva\Antonio-Candreva,it ITA,MF,Sampdoria,34-061,1987,30,2148,23.9,5,6,3,2,2,1,0,0.21,0.25,0.46,0.13,0.38,Matches
Gianluca Caprari\Gianluca-Caprari,it ITA,MFFW,Benevento,27-274,1993,26,1697,18.9,5,5,5,0,1,4,1,0.27,0.27,0.53,0.27,0.53,Matches
Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,33-267,1987,22,1626,18.1,11,5,8,3,3,1,0,0.61,0.28,0.89,0.44,0.72,Matches
Andrea Carboni\Andrea-Carboni,it ITA,DF,Cagliari,20-085,2001,10,728,8.1,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Giuseppe Caso\Giuseppe-Caso,it ITA,MF,Genoa,22-142,1998,1,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Francesco Cassata\Francesco-Cassata,it ITA,DF,Genoa,23-288,1997,4,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Samu Castillejo\Samu-Castillejo,es ESP,FW,Milan,26-102,1995,25,1041,11.6,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
