Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jordan Tell\Jordan-Tell,fr FRA,FW,Caen,19,1997,5,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Terrier\Martin-Terrier,fr FRA,MF,Lille,19,1997,11,256,2.8,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,23,1993,38,2956,32.8,15,9,14,1,1,2,0,0.46,0.27,0.73,0.43,0.7,Matches
Alexis Thébaux\Alexis-Thebaux,fr FRA,GK,Bastia,31,1985,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kévin Théophile-Catherine\Kevin-Theophile-Catherine,fr FRA,DF,Saint-Étienne,26,1989,31,2730,30.3,0,2,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Vincent Thill\Vincent-Thill,lu LUX,MF,Metz,16,2000,1,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,28,1988,36,3208,35.6,1,0,1,0,0,5,1,0.03,0,0.03,0.03,0.03,Matches
Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Nantes,22,1993,29,1935,21.5,2,2,2,0,0,5,1,0.09,0.09,0.19,0.09,0.19,Matches
Nicolaj Thomsen\Nicolaj-Thomsen,dk DEN,MFFW,Nantes,23,1993,13,744,8.3,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
Marcel Tisserand\Marcel-Tisserand,cd COD,DF,Monaco,23,1993,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ola Toivonen\Ola-Toivonen,se SWE,MFFW,Toulouse,30,1986,35,1805,20.1,7,2,7,0,0,9,0,0.35,0.1,0.45,0.35,0.45,Matches
Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Angers,23,1992,31,2428,27,7,4,7,0,0,0,0,0.26,0.15,0.41,0.26,0.41,Matches
Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Lyon,21,1994,31,2573,28.6,8,5,8,0,0,1,1,0.28,0.17,0.45,0.28,0.45,Matches
Jérémy Toulalan\Jeremy-Toulalan,fr FRA,MF,Bordeaux,32,1983,30,2601,28.9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,22,1994,12,377,4.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Almamy Touré\Almamy-Toure,ml MLI,DF,Monaco,20,1996,15,1084,12,0,4,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
Thomas Touré\Thomas-Toure,ci CIV,MF,Bordeaux,22,1993,6,366,4.1,0,1,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches
