Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Georg Niedermeier\Georg-Niedermeier,de GER,DF,Freiburg,30,1986,1.1,0,0,0,2,0,0,0,2,2,0,0,0,Matches
Håvard Nielsen\Havard-Nielsen,no NOR,FWMF,Freiburg,23,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Peter Niemeyer\Peter-Niemeyer,de GER,DFMF,Darmstadt 98,32,1983,12.3,7,2,1,18,18,4,0,36,23,0,0,0,Matches
Paul-Georges Ntep\Paul-Georges-Ntep,cm CMR,MF,Wolfsburg,24,1992,6.1,0,0,0,8,12,1,7,4,5,0,0,0,Matches
Ørjan Nyland\Orjan-Nyland,no NOR,GK,Ingolstadt 04,25,1990,11.4,0,0,0,0,1,0,0,0,2,0,0,0,Matches
Victor Obinna\Victor-Obinna,ng NGA,FW,Darmstadt 98,29,1987,0.4,0,0,0,2,0,0,0,2,1,0,0,0,Matches
Philipp Ochs\Philipp-Ochs,de GER,MFDF,Hoffenheim,19,1997,1.6,1,0,0,5,0,0,3,2,5,0,0,0,Matches
Bastian Oczipka\Bastian-Oczipka,de GER,DFMF,Eint Frankfurt,27,1989,32.8,5,0,0,24,49,1,98,85,49,0,0,0,Matches
Denys Oliynyk\Denys-Oliynyk,ua UKR,MF,Darmstadt 98,29,1987,0.6,0,0,0,0,0,0,1,0,2,0,0,0,Matches
Pawe? Olkowski\Pawel-Olkowski,pl POL,DFMF,Köln,26,1990,12.3,2,0,0,18,18,0,23,44,18,0,0,0,Matches
Karim Onisiwo\Karim-Onisiwo,at AUT,MFFW,Mainz 05,24,1992,10.1,4,0,0,22,25,5,12,15,16,0,1,0,Matches
Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,23,1992,28,8,2,1,29,32,2,0,65,56,0,0,0,Matches
Anderson Ordóñez\Anderson-Ordonez,ec ECU,DF,Eint Frankfurt,22,1994,2,0,0,0,1,1,0,0,9,3,0,0,0,Matches
Yuya Osako\Yuya-Osako,jp JPN,FWMF,Köln,26,1990,26.3,4,0,0,49,53,6,17,22,36,3,0,0,Matches
Victor Osimhen\Victor-Osimhen,ng NGA,FW,Wolfsburg,17,1998,0.5,1,0,0,1,0,1,0,2,0,0,0,0,Matches
Matthias Ostrzolek\Matthias-Ostrzolek,de GER,DFMF,Hamburger SV,26,1990,22.1,4,0,0,23,41,0,67,48,45,0,1,0,Matches
Salih Özcan\Salih-Ozcan,de GER,MF,Köln,18,1998,4.1,1,2,1,12,9,1,0,10,7,0,0,0,Matches
Levin Öztunal?\Levin-Oztunali,de GER,MF,Mainz 05,20,1996,21.8,1,0,0,27,24,5,91,43,32,0,0,0,Matches
Federico Palacios Martínez\Federico-Palacios-Martinez,de GER,FW,RB Leipzig,21,1995,0.6,0,0,0,1,1,1,1,2,2,0,0,0,Matches
Kyriakos Papadopoulos\Kyriakos-Papadopoulos,gr GRE,DF,Hamburger SV,24,1992,14.3,6,0,0,19,13,0,0,49,25,0,0,0,Matches
Kyriakos Papadopoulos\Kyriakos-Papadopoulos,gr GRE,DFMF,RB Leipzig,24,1992,0.3,0,0,0,0,2,0,0,1,1,0,0,0,Matches
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Dortmund,28,1988,25.5,7,0,0,42,57,1,1,39,43,0,0,0,Matches
Felix Passlack\Felix-Passlack,de GER,DFMF,Dortmund,18,1998,5.9,1,0,0,6,7,0,13,7,13,0,0,0,Matches
Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,29,1986,30.1,3,0,0,23,25,2,78,62,42,0,0,0,Matches
Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,27,1988,13.9,0,0,0,12,11,9,2,10,13,1,0,0,Matches
Thanos Petsos\Thanos-Petsos,gr GRE,MF,Werder Bremen,25,1991,1.6,2,0,0,4,2,0,1,1,2,0,0,0,Matches
Maximilian Philipp\Maximilian-Philipp,de GER,FWMF,Freiburg,22,1994,21.4,5,0,0,41,46,4,14,23,15,2,0,0,Matches
?ukasz Piszczek\Lukasz-Piszczek,pl POL,DFMF,Dortmund,31,1985,22.6,1,0,0,16,13,0,30,37,30,0,0,0,Matches
Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,37,1978,9.5,1,0,0,16,17,8,3,11,5,1,0,0,Matches
Felix Platte\Felix-Platte,de GER,FWMF,Darmstadt 98,20,1996,5.2,1,0,0,12,6,6,1,3,4,0,0,0,Matches
Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,24,1992,27,3,0,0,30,23,0,124,53,35,1,1,0,Matches
Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Leverkusen,21,1994,2.1,0,0,0,2,0,0,1,1,0,0,0,0,Matches
Eugen Polanski\Eugen-Polanski,pl POL,MF,Hoffenheim,30,1986,7,1,0,0,10,13,0,1,20,8,0,0,0,Matches
Finn Porath\Finn-Porath,de GER,MF,Hamburger SV,19,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,22,1994,23.2,4,0,0,56,48,17,11,19,17,0,0,0,Matches
Christian Pulisic\Christian-Pulisic,us USA,MF,Dortmund,17,1998,16.9,1,0,0,19,33,3,27,18,20,2,0,0,Matches
Robin Quaison\Robin-Quaison,se SWE,MFFW,Mainz 05,22,1993,5.4,0,0,0,13,7,0,2,9,3,0,0,0,Matches
Raffael\Raffael,br BRA,FW,M'Gladbach,31,1985,16.6,1,0,0,7,36,3,46,10,13,0,0,0,Matches
Rafinha\Rafinha,br BRA,DF,Bayern Munich,30,1985,11.4,2,0,0,10,21,0,32,33,20,1,0,0,Matches
Baba Rahman\Baba-Rahman,gh GHA,DFMF,Schalke 04,22,1994,7.9,2,0,0,17,7,2,28,26,20,0,0,0,Matches
André Ramalho\Andre-Ramalho,br BRA,MFDF,Mainz 05,24,1992,12.6,4,0,0,19,14,0,0,37,32,0,1,0,Matches
Adrián Ramos\Adrian-Ramos,co COL,FW,Dortmund,30,1986,4,2,0,0,0,8,1,0,3,2,0,0,0,Matches
Konstantin Rausch\Konstantin-Rausch,ru RUS,MFDF,Köln,26,1990,21.5,4,0,0,11,32,6,101,49,27,0,0,0,Matches
Ante Rebi?\Ante-Rebic,hr CRO,MFFW,Eint Frankfurt,22,1993,15.6,10,0,0,56,30,3,39,33,15,1,0,0,Matches
Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,18,1997,0.8,0,0,0,1,0,2,5,0,0,0,0,0,Matches
Marco Reus\Marco-Reus,de GER,FWMF,Dortmund,27,1989,13.1,2,2,1,21,28,15,30,12,14,1,0,0,Matches
Franck Ribéry\Franck-Ribery,fr FRA,MFFW,Bayern Munich,33,1983,13.8,2,0,0,13,36,7,39,14,6,0,0,0,Matches
Tim Rieder\Tim-Rieder,de GER,MF,Augsburg,22,1993,2.4,0,0,0,3,1,0,3,5,11,0,0,0,Matches
Sascha Riether\Sascha-Riether,de GER,DF,Schalke 04,33,1983,3.2,0,0,0,1,1,0,11,3,5,0,0,0,Matches
Marcel Risse\Marcel-Risse,de GER,MF,Köln,26,1989,12.2,1,0,0,5,8,0,60,22,11,0,0,0,Matches
Arjen Robben\Arjen-Robben,nl NED,MFFW,Bayern Munich,32,1984,20.3,0,0,0,7,26,8,71,19,11,0,0,0,Matches
Sebastian Rode\Sebastian-Rode,de GER,MF,Dortmund,25,1990,6.5,0,0,0,9,8,0,4,22,5,0,0,0,Matches
José Rodríguez\Jose-Rodriguez,es ESP,MF,Mainz 05,21,1994,0.1,0,1,0,4,0,0,0,0,0,0,0,0,Matches
Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Wolfsburg,23,1992,22.4,1,0,0,24,12,0,93,38,21,0,1,0,Matches
Roger\Roger,br BRA,MFDF,Ingolstadt 04,30,1985,25.3,6,0,0,38,49,0,0,63,47,0,1,0,Matches
Jan Rosenthal\Jan-Rosenthal,de GER,MFFW,Darmstadt 98,30,1986,9.3,3,0,0,16,11,2,4,12,7,0,0,0,Matches
Artjoms Rud?evs\Artjoms-Rudnevs,lv LVA,FWMF,Köln,28,1988,7.7,3,0,0,24,13,10,4,4,3,0,0,0,Matches
Sebastian Rudy\Sebastian-Rudy,de GER,MF,Hoffenheim,26,1990,31,9,0,0,51,47,0,94,99,64,2,0,0,Matches
Lukas Rupp\Lukas-Rupp,de GER,MF,Hoffenheim,25,1991,8.8,2,0,0,20,19,0,8,16,15,0,1,0,Matches
Marco Russ\Marco-Russ,de GER,DF,Eint Frankfurt,30,1985,2.7,1,0,0,3,4,0,1,3,3,0,0,0,Matches
Marcel Sabitzer\Marcel-Sabitzer,at AUT,MFFW,RB Leipzig,22,1994,28.8,3,0,0,24,40,14,42,33,25,0,0,0,Matches
Nuri ?ahin\Nuri-Sahin,tr TUR,MF,Dortmund,27,1988,2.6,1,0,0,3,3,0,0,9,5,0,0,0,Matches
G?toku Sakai\Gotoku-Sakai,jp JPN,DFMF,Hamburger SV,25,1991,30,7,0,0,28,40,2,33,72,50,0,0,0,Matches
Sidney Sam\Sidney-Sam,de GER,MF,Darmstadt 98,28,1988,9.8,1,0,0,18,20,0,19,14,11,0,0,0,Matches
Jairo Samperio\Jairo-Samperio,es ESP,MF,Mainz 05,23,1993,10.5,5,0,0,13,13,3,16,18,14,0,0,0,Matches
Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,18,1997,6.9,3,0,0,14,13,1,3,11,6,0,0,0,Matches
Lamine Sané\Lamine-Sane,sn SEN,DF,Werder Bremen,29,1987,26.2,3,0,0,22,19,4,0,78,30,0,0,0,Matches
Douglas Santos\Douglas-Santos,br BRA,DF,Hamburger SV,22,1994,19,4,0,0,25,10,1,28,58,63,0,0,0,Matches
Marcel Schäfer\Marcel-Schafer,de GER,MFDF,Wolfsburg,32,1984,1.2,1,0,0,1,1,0,8,1,3,0,0,0,Matches
Fabian Schär\Fabian-Schar,ch SUI,DF,Hoffenheim,24,1991,3.2,2,0,0,7,5,0,0,8,3,0,0,0,Matches
Julian Schieber\Julian-Schieber,de GER,FW,Hertha BSC,27,1989,4.9,3,0,0,8,6,4,1,5,2,0,0,0,Matches
Sven Schipplock\Sven-Schipplock,de GER,FW,Darmstadt 98,27,1988,12.3,3,0,0,32,19,8,8,13,12,1,0,0,Matches
Marcel Schmelzer\Marcel-Schmelzer,de GER,DFMF,Dortmund,28,1988,24.3,3,0,0,27,51,4,33,67,32,0,0,1,Matches
Jonathan Schmid\Jonathan-Schmid,fr FRA,MF,Augsburg,26,1990,19.2,1,0,0,11,21,1,75,27,17,0,0,0,Matches
