Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,23-059,1998,3,0,0,0,1,0,0,0,0,0,0,1,0,12,Matches
Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,22-328,1998,18.8,1,0,0,22,46,1,17,11,22,0,0,0,105,Matches
Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,28-217,1992,24.3,1,0,0,17,12,1,113,38,24,1,1,0,185,Matches
Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,24-310,1996,15.7,4,0,0,45,29,2,23,15,29,1,0,0,124,Matches
Racine Coly\Racine-Coly,sn SEN,DF,Nice,25-143,1995,0.2,0,0,0,1,0,0,0,0,1,0,0,0,3,Matches
Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,36-025,1985,33.3,4,0,0,27,23,0,3,42,34,0,1,0,273,Matches
Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,30-180,1990,19,3,0,0,18,37,0,53,19,18,0,0,0,115,Matches
Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,24-215,1996,23.2,5,0,0,25,28,3,58,31,42,2,0,0,220,Matches
David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,20-115,2001,1.6,0,0,0,2,2,0,0,0,5,0,0,0,11,Matches
Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,33-301,1987,34,0,0,0,0,4,0,0,0,0,0,0,0,168,Matches
Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,29-252,1991,7.7,1,0,0,9,8,10,8,3,2,0,0,0,23,Matches
Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Angers,25-020,1996,18.6,4,0,0,26,30,0,5,37,55,0,0,0,200,Matches
Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,26-238,1994,18.5,6,1,1,17,10,0,0,34,20,0,0,0,148,Matches
Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,22-112,1999,12.3,2,0,0,8,16,1,8,17,13,0,0,0,95,Matches
Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,24-343,1996,22,6,1,1,28,15,0,4,45,54,0,0,0,264,Matches
Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,21-257,1999,11.4,3,0,0,34,11,1,9,7,17,0,0,0,75,Matches
Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,32-348,1988,26.6,7,0,0,27,20,0,6,32,15,0,1,0,263,Matches
Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,22-233,1998,12.1,3,0,0,18,9,2,22,9,11,0,1,0,84,Matches
Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,20-003,2001,14.9,0,0,0,11,8,0,2,17,12,0,0,0,126,Matches
Dante\Dante,br BRA,DF,Nice,37-194,1983,8.6,2,0,0,6,4,0,0,2,7,0,1,0,78,Matches
Jonathan David\Jonathan-David,ca CAN,FW,Lille,21-106,2000,22.6,0,0,0,32,36,6,7,12,11,1,0,0,97,Matches
Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,28-192,1992,14.1,4,0,0,21,9,0,23,26,23,0,0,0,130,Matches
Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,22-329,1998,4.5,2,0,0,7,6,0,9,5,6,0,1,0,45,Matches
Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,32-125,1988,18.3,4,1,0,31,19,3,20,14,34,0,1,0,209,Matches
Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,35-276,1985,20.5,5,0,0,36,17,3,58,36,33,0,3,0,190,Matches
Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,25-032,1996,6.5,1,0,0,12,13,1,22,4,19,0,0,0,53,Matches
Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,29-037,1992,17.8,4,0,0,22,14,0,62,17,15,0,0,0,117,Matches
Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,35-041,1986,10.1,1,1,0,16,7,1,27,20,12,0,0,0,96,Matches
Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,29-203,1991,23.7,4,0,0,47,37,18,75,3,15,1,0,0,119,Matches
Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,24-292,1996,7.5,3,0,0,17,7,7,2,2,3,0,0,0,34,Matches
Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,25-306,1995,26.7,1,0,0,19,7,0,1,22,20,0,0,0,217,Matches
Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,20-151,2000,5.8,3,0,0,21,9,2,5,2,3,0,0,0,27,Matches
Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,27-076,1994,29.5,4,0,0,30,49,11,93,9,5,2,0,0,146,Matches
Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,33-075,1988,18.2,1,0,0,11,25,8,86,6,20,0,0,0,77,Matches
Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,24-165,1996,28.8,2,0,0,29,32,14,13,15,14,1,0,0,111,Matches
Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,24-361,1996,14.2,3,2,1,17,9,0,5,12,14,0,0,0,123,Matches
Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,25-316,1995,22.5,1,0,0,19,21,12,16,12,10,0,0,0,98,Matches
Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,25-316,1995,1.6,0,0,0,2,2,2,1,0,0,0,0,0,8,Matches
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,22-053,1999,4.9,1,0,0,8,8,0,3,3,8,0,0,0,44,Matches
Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,22-142,1998,2,1,0,0,4,4,3,11,0,1,0,0,0,18,Matches
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,24-137,1996,4.5,0,0,0,6,12,0,7,4,2,0,0,0,22,Matches
Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,22-064,1999,3.9,3,0,0,3,6,3,8,1,2,0,0,0,31,Matches
Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,30-072,1991,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,Matches
Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,20-021,2001,10.9,3,0,0,16,11,0,3,16,8,0,1,0,98,Matches
Lois Diony\Lois-Diony,fr FRA,FW,Angers,28-131,1992,17.2,2,0,0,20,32,5,28,3,12,1,0,0,55,Matches
Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,20-325,2000,22.5,4,0,0,33,56,4,24,16,41,0,0,0,218,Matches
Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,21-165,1999,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,Matches
Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,23-222,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches
Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,23-050,1998,20.6,4,2,0,25,16,1,3,22,20,0,0,0,198,Matches
Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,21-021,2000,8.7,4,1,1,15,8,1,6,11,17,0,0,0,80,Matches
Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,26-264,1994,24.4,7,0,0,44,31,1,5,69,38,0,2,0,204,Matches
Mihai Dobre\Mihai-Dobre,ro ROU,FWMF,Dijon,22-243,1998,5,0,0,0,4,6,2,6,9,7,0,0,0,37,Matches
Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,18-338,2002,22.1,1,1,0,32,60,5,63,12,34,0,0,0,143,Matches
Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,23-206,1997,17.4,2,0,0,19,43,4,3,3,6,0,0,0,60,Matches
Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,28-098,1993,4.5,1,0,0,3,3,2,4,4,8,0,0,0,28,Matches
Anastasios Donis\Anastasios-Donis,gr GRE,MF,Reims,24-244,1996,1.1,0,1,0,3,0,3,3,0,0,0,0,0,2,Matches
Lucas Douath\Lucas-Douath,fr FRA,MF,Saint-Étienne,17-268,2003,12.6,7,0,0,28,26,0,1,19,23,0,0,0,150,Matches
Cheick Doucouré\Cheick-Doucoure,ml MLI,MF,Lens,21-112,2000,25.5,8,0,0,43,13,0,1,46,47,0,0,0,292,Matches
Fodé Doucouré\Fode-Doucoure,ml MLI,DF,Reims,20-086,2001,3.6,0,0,0,4,1,0,4,4,1,0,0,0,30,Matches
Moussa Doumbia\Moussa-Doumbia,ml MLI,MFFW,Reims,26-258,1994,9.3,1,0,0,7,29,1,20,16,3,0,0,0,83,Matches
Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,24-218,1996,24.3,8,0,0,31,15,0,35,40,34,1,1,1,188,Matches
Mouhamadou Drammeh\Mouhamadou-Drammeh,fr FRA,MF,Reims,21-350,1999,1.9,1,0,0,1,4,0,0,2,1,0,0,0,17,Matches
Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,27-222,1993,9.5,3,0,0,7,10,4,21,10,5,0,0,0,50,Matches
Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,32-041,1989,15,1,0,0,0,1,0,0,0,0,0,0,0,67,Matches
Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,26-228,1994,29,3,0,0,18,32,2,120,22,29,1,1,0,298,Matches
Haris Duljevi?\Haris-Duljevic,ba BIH,MFFW,Nîmes,27-165,1993,8.5,1,0,0,10,12,1,14,13,14,0,0,0,64,Matches
Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,23-292,1997,19.2,4,0,0,20,11,0,7,16,20,0,2,0,199,Matches
Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,20-160,2000,21,5,0,0,42,34,2,21,13,22,0,0,0,132,Matches
Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,22-050,1999,2.9,1,0,0,3,4,0,3,1,3,0,0,0,20,Matches
Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,32-288,1988,34,2,0,0,18,25,1,1,75,37,0,1,0,308,Matches
Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,18-314,2002,1,1,0,0,3,1,0,0,0,1,0,0,0,5,Matches
Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,25-144,1995,17,1,0,0,23,37,4,57,16,20,0,0,0,86,Matches
Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,18-118,2003,5,1,0,0,7,11,3,6,2,2,0,0,0,28,Matches
Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,29-146,1991,3.6,1,0,0,5,12,0,3,1,2,1,0,0,10,Matches
Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,23-346,1997,1,1,0,0,2,1,0,2,2,1,0,0,0,10,Matches
