Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,29-049,1992,33,2518,28,0,3,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,30-050,1991,20,1527,17,2,1,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches
Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,23-099,1998,15,1025,11.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,25-358,1995,26,1955,21.7,2,3,2,0,0,2,0,0.09,0.14,0.23,0.09,0.23,Matches
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,20-134,2000,4,315,3.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,22-110,1999,31,2548,28.3,0,2,0,0,0,9,1,0,0.07,0.07,0,0.07,Matches
Thomas Foket\Thomas-Foket,be BEL,DF,Reims,26-217,1994,33,2970,33,0,1,0,0,0,4,0,0,0.03,0.03,0,0.03,Matches
Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,23-094,1998,29,1966,21.8,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,29-357,1991,4,320,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
José Fonte\Jose-Fonte,pt POR,DF,Lille,37-129,1983,33,2915,32.4,3,0,3,0,0,6,0,0.09,0,0.09,0.09,0.09,Matches
Steven Fortes\Steven-Fortes,cv CPV,DF,Lens,29-013,1992,16,1255,13.9,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Yassin Fortune\Yassin-Fortune,fr FRA,FW,Angers,22-090,1999,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,24-253,1996,30,2476,27.5,5,3,4,1,1,4,0,0.18,0.11,0.29,0.15,0.25,Matches
Baptiste Gabard\Baptiste-Gabard,fr FRA,MF,Saint-Étienne,21-092,2000,2,133,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,31-216,1989,25,1482,16.5,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches
Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Lens,22-073,1999,20,1004,11.2,6,0,6,0,0,0,0,0.54,0,0.54,0.54,0.54,Matches
Yann Gboho\Yann-Gboho,fr FRA,MFFW,Rennes,20-106,2001,10,303,3.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Valère Germain\Valere-Germain,fr FRA,FW,Marseille,31-013,1990,24,857,9.5,3,0,3,0,0,1,0,0.32,0,0.32,0.32,0.32,Matches
Willem Geubbels\Willem-Geubbels,fr FRA,FWMF,Monaco,19-257,2001,13,285,3.2,1,0,1,0,0,3,0,0.32,0,0.32,0.32,0.32,Matches
Andrei Girotto\Andrei-Girotto,br BRA,DFMF,Nantes,29-072,1992,30,2470,27.4,1,1,1,0,0,3,1,0.04,0.04,0.07,0.04,0.07,Matches
Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MFFW,Monaco,24-335,1996,18,898,10,4,8,4,0,0,1,0,0.4,0.8,1.2,0.4,1.2,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,27-237,1993,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,27-237,1993,18,1620,18,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Vagner Gonçalves\Vagner-Goncalves,cv CPV,FWMF,Metz,25-110,1996,22,829,9.2,3,1,1,2,2,3,0,0.33,0.11,0.43,0.11,0.22,Matches
Álvaro González\Alvaro-Gonzalez,es ESP,DF,Marseille,31-112,1990,28,2471,27.5,2,3,2,0,0,12,0,0.07,0.11,0.18,0.07,0.18,Matches
Amine Gouiri\Amine-Gouiri,fr FRA,FWMF,Nice,21-073,2000,31,2552,28.4,12,6,8,4,4,5,0,0.42,0.21,0.63,0.28,0.49,Matches
Jonathan Gradit\Jonathan-Gradit,fr FRA,DF,Lens,28-157,1992,29,2463,27.4,0,1,0,0,0,9,1,0,0.04,0.04,0,0.04,Matches
Andrew Gravillon\Andrew-Gravillon,fr FRA,DF,Lorient,23-081,1998,25,2182,24.2,1,2,1,0,0,3,1,0.04,0.08,0.12,0.04,0.12,Matches
Adrian Grbi?\Adrian-Grbic,at AUT,FW,Lorient,24-269,1996,30,931,10.3,4,0,1,3,3,1,0,0.39,0,0.39,0.1,0.1,Matches
Etienne Green\Etienne-Green,fr FRA,GK,Saint-Étienne,20-285,2000,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Clément Grenier\Clement-Grenier,fr FRA,MF,Rennes,30-113,1991,20,1021,11.3,4,3,3,1,1,3,0,0.35,0.26,0.62,0.26,0.53,Matches
Evann Guessand\Evann-Guessand,fr FRA,FW,Nice,19-303,2001,3,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kelyan Guessoum\Kelyan-Guessoum,fr FRA,DF,Nîmes,22-084,1999,14,1108,12.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
