Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
19,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,24,1993,34,0,0,0,0,2,0,0,0,0,0,0,0,135,0,0,,Matches
20,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,19,1998,1.5,0,0,0,1,2,0,4,0,2,0,0,0,16,2,0,100,Matches
21,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,33,1984,11.7,2,3,1,10,9,1,11,33,10,0,0,0,124,0,4,0,Matches
22,Danilo Avelar\Danilo-Avelar,br BRA,DFFW,Amiens,28,1989,19.2,2,0,0,23,19,1,58,37,23,1,0,0,189,24,14,63.2,Matches
23,Durel Avounou\Durel-Avounou,cg CGO,MFDF,Caen,19,1997,7.2,1,0,0,9,5,2,12,12,5,0,0,0,79,1,4,20,Matches
24,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Nantes,20,1997,16.8,2,1,0,19,11,0,2,19,22,0,0,0,193,14,9,60.9,Matches
25,Karim Azamoum\Karim-Azamoum,fr FRA,MF,Troyes,27,1990,25.3,5,1,0,55,17,0,34,23,46,0,1,0,269,37,26,58.7,Matches
26,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,31,1986,12.9,0,0,0,11,15,1,22,16,22,0,0,0,150,11,4,73.3,Matches
27,Dylan Bahamboula\Dylan-Bahamboula,cg CGO,FWMF,Dijon,22,1995,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,100,Matches
28,Farès Bahlouli\Fares-Bahlouli,fr FRA,MFFW,Lille,22,1995,3.4,2,0,0,8,9,3,19,0,5,0,0,0,28,0,1,0,Matches
29,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Strasbourg,25,1992,18.5,5,0,0,39,21,20,22,12,9,0,1,0,70,13,19,40.6,Matches
30,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,22,1995,16.3,3,2,1,23,27,15,30,4,6,0,0,0,87,6,6,50,Matches
31,Iván Balliu\Ivan-Balliu,al ALB,DF,Metz,25,1992,21.7,6,0,0,23,36,2,37,23,13,0,0,0,210,4,8,33.3,Matches
32,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Lille,20,1997,22.8,5,1,0,30,19,8,35,19,21,0,2,1,203,11,13,45.8,Matches
33,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,37,1980,9.6,3,0,0,10,16,0,8,7,6,0,0,0,111,0,1,0,Matches
34,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,26,1990,25.2,11,1,0,57,72,23,12,5,4,1,0,0,66,10,13,43.5,Matches
35,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,27,1990,17,2,0,0,19,19,2,30,10,9,0,1,0,155,7,4,63.6,Matches
36,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Saint-Étienne,21,1996,28.6,1,0,0,28,46,20,78,17,20,2,0,0,205,8,22,26.7,Matches
37,Yacine Bammou\Yacine-Bammou,ma MAR,MFFW,Nantes,25,1991,8.1,2,2,1,18,8,5,14,13,5,0,0,0,68,4,8,33.3,Matches
38,Sekou Baradji\Sekou-Baradji,fr FRA,MF,Amiens,33,1984,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
39,Nicolas Basin\Nicolas-Basin,fr FRA,DF,Metz,19,1998,3.5,1,0,0,2,3,0,6,8,5,0,0,0,38,3,2,60,Matches
40,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,FW,Monaco,20,1996,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
41,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,29,1988,6.3,0,1,0,8,1,0,1,8,3,0,0,0,75,10,4,71.4,Matches
42,Hervé Bazile\Herve-Bazile,ht HAI,FWMF,Caen,27,1990,9.8,1,0,0,15,16,5,55,18,11,0,0,0,72,2,6,25,Matches
43,Henri Bedimo\Henri-Bedimo,cm CMR,DFMF,Marseille,33,1984,0.5,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,,Matches
44,François Bellugou\Francois-Bellugou,fr FRA,MF,Troyes,30,1987,24.2,6,1,0,28,13,0,2,38,27,0,0,0,260,19,18,51.4,Matches
45,Chaouki Ben Saada\Chaouki-Ben-Saada,tn TUN,FWMF,Troyes,33,1984,3.8,3,0,0,8,3,0,7,1,7,0,0,0,36,1,0,100,Matches
46,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,33,1983,2.5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
47,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Guingamp,26,1991,18.3,2,0,0,23,41,10,62,14,16,0,0,0,132,5,17,22.7,Matches
48,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,24,1993,28,3,0,0,3,2,0,0,0,0,0,0,0,125,0,0,,Matches
49,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,22,1995,26,6,0,0,36,40,4,41,36,19,0,1,1,316,33,12,73.3,Matches
50,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Lille,22,1994,25.4,8,0,0,59,55,2,52,20,38,0,0,0,177,5,6,45.5,Matches
51,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Paris S-G,27,1990,19.1,4,0,0,18,28,4,48,18,20,0,0,0,175,25,15,62.5,Matches
52,Robert Beri_\Robert-Beric,si SVN,FW,Saint-Étienne,26,1991,11.6,0,0,0,26,21,14,2,7,4,1,0,0,35,2,16,11.1,Matches
53,Kévin Bérigaud\Kevin-Berigaud,fr FRA,MFFW,Montpellier,29,1988,3,0,0,0,3,3,0,1,1,0,0,0,0,10,3,3,50,Matches
54,Vincent Bessat\Vincent-Bessat,fr FRA,DFMF,Caen,31,1985,17.4,2,0,0,15,6,2,89,19,19,0,1,0,165,2,12,14.3,Matches
55,Quentin Beunardeau\Quentin-Beunardeau,fr FRA,GK,Metz,23,1994,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
56,Milan Bi_evac\Milan-Bisevac,rs SRB,DF,Metz,33,1983,7.9,1,0,0,4,3,1,1,2,7,0,1,0,82,2,3,40,Matches
57,Yves Bissouma\Yves-Bissouma,ml MLI,MFDF,Lille,20,1996,17.4,3,0,0,33,13,4,7,38,37,0,0,0,195,8,4,66.7,Matches
58,Ludovic Blas\Ludovic-Blas,fr FRA,MF,Guingamp,19,1997,19.9,3,2,1,27,34,4,12,21,16,0,0,0,194,9,16,36,Matches
59,Jérémy Blayac\Jeremy-Blayac,fr FRA,FWMF,Strasbourg,34,1983,10.2,2,0,0,11,23,16,9,2,3,1,0,0,37,42,27,60.9,Matches
60,Alexis Blin\Alexis-Blin,fr FRA,MF,Toulouse,20,1996,21,5,0,0,29,39,0,12,32,21,1,1,0,226,11,19,36.7,Matches
61,Yann Bodiger\Yann-Bodiger,fr FRA,MFFW,Toulouse,22,1995,2.5,0,0,0,4,3,0,3,4,1,0,0,0,24,4,0,100,Matches
62,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,DFMF,Amiens,34,1982,4.4,2,0,0,7,3,0,1,4,2,0,0,0,49,3,7,30,Matches
63,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Toulouse,20,1997,2,1,0,0,4,3,1,3,0,1,0,0,0,20,1,1,50,Matches
64,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,Strasbourg,33,1983,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
65,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Monaco,21,1996,0.9,0,0,0,1,2,0,2,0,2,0,0,0,9,0,1,0,Matches
66,Jean-Christophe Bouet\Jean-Christophe-Bouet,fr FRA,GK,Amiens,34,1983,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
67,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DF,Dijon,28,1988,3.7,1,0,0,1,5,0,10,5,2,0,0,0,27,2,3,40,Matches
68,Farid Boulaya\Farid-Boulaya,dz ALG,FWMF,Metz,24,1993,2,0,0,0,3,3,0,4,1,1,0,0,0,15,1,0,100,Matches
69,Emmanuel Bourgaud\Emmanuel-Bourgaud,fr FRA,MFFW,Amiens,29,1987,6,0,0,0,5,10,0,12,9,4,0,0,0,65,4,7,36.4,Matches
70,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,23,1994,34.5,3,0,0,37,15,2,148,50,24,0,1,0,289,5,11,31.3,Matches
71,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Bordeaux,26,1991,10.2,3,0,0,11,7,4,7,3,2,0,0,0,40,9,9,50,Matches
72,Brandon\Brandon,es ESP,MFFW,Rennes,22,1995,4,0,0,0,11,8,2,5,6,6,0,0,0,27,1,3,25,Matches
73,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Guingamp,31,1985,35.7,4,0,0,47,95,38,14,18,14,2,1,0,181,22,34,39.3,Matches
74,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,21,1996,10,2,0,0,10,14,0,10,11,7,0,1,0,73,5,3,62.5,Matches
75,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,34,1983,18.4,0,0,0,0,2,0,0,0,0,0,0,1,98,0,0,,Matches
76,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,27,1990,25.1,3,0,0,24,68,5,56,14,33,0,0,0,188,3,10,23.1,Matches
77,Rémy Cabella\Remy-Cabella,fr FRA,MF,Marseille,27,1990,0.7,0,0,0,1,2,0,1,1,4,0,0,0,4,0,0,,Matches
78,Cafú\Cafu,pt POR,MF,Metz,24,1993,7.5,2,0,0,12,8,1,0,9,7,0,0,1,64,5,6,45.5,Matches
79,Jonathan Cafu\Jonathan-Cafu,br BRA,FWMF,Bordeaux,26,1991,7,2,0,0,14,19,2,15,5,10,1,0,0,52,1,4,20,Matches
80,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MF,Toulouse,32,1985,16.9,5,0,0,27,28,0,2,25,20,0,0,0,206,10,13,43.5,Matches
81,Abdoul Camara\Abdoul-Camara,gn GUI,FWMF,Guingamp,27,1990,10.8,0,0,0,7,11,2,24,7,4,0,0,0,47,3,2,60,Matches
82,Souleymane Camara\Souleymane-Camara,sn SEN,FW,Montpellier,34,1982,10.4,1,0,0,13,19,12,9,2,3,0,0,0,28,13,17,43.3,Matches
83,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFFW,Angers,30,1987,20.9,3,0,0,23,18,1,20,34,31,0,0,1,183,16,17,48.5,Matches
84,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,23,1994,10,2,0,0,0,1,0,0,0,0,0,0,0,29,0,0,,Matches
85,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,24,1993,25.5,7,1,1,31,18,2,5,24,36,0,0,0,291,26,11,70.3,Matches
86,Guido Carrillo\Guido-Carrillo,ar ARG,FWMF,Monaco,26,1991,4.7,0,0,0,6,8,0,0,1,1,1,0,0,19,13,11,54.2,Matches
87,Thomas Carrique\Thomas-Carrique,fr FRA,DF,Bordeaux,18,1999,1,0,0,0,1,0,0,2,2,0,0,0,0,5,3,3,50,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,30,1987,28.7,3,0,0,19,20,24,11,8,7,3,0,0,81,0,1,0,Matches
89,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,30,1986,17.9,4,0,0,21,18,2,37,28,27,0,0,0,182,11,15,42.3,Matches
90,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FWMF,Dijon,23,1994,23.7,3,0,0,21,47,11,54,27,20,1,1,0,138,4,26,13.3,Matches
91,Charly Charrier\Charly-Charrier,fr FRA,MF,Amiens,31,1986,1.2,0,0,0,1,1,2,2,1,0,0,0,0,12,0,0,,Matches
92,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Lyon,19,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
93,Saliou Ciss\Saliou-Ciss,sn SEN,DFFW,Angers,27,1989,1.6,0,0,0,2,2,1,2,1,0,0,0,0,9,1,1,50,Matches
94,Issa Cissokho\Issa-Cissokho,sn SEN,DF,Amiens,32,1985,18.1,3,0,0,14,18,0,24,25,17,0,0,0,192,6,12,33.3,Matches
95,Marcus Coco\Marcus-Coco,fr FRA,FWMF,Guingamp,21,1996,17.6,5,0,0,41,28,4,39,19,20,1,0,0,130,19,20,48.7,Matches
96,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Metz,32,1984,36.6,5,0,0,53,27,3,55,48,89,0,0,0,474,42,44,48.8,Matches
97,Racine Coly\Racine-Coly,sn SEN,DF,Nice,21,1995,6.9,3,0,0,14,8,1,12,15,8,0,0,0,54,4,3,57.1,Matches
98,Alois Confais\Alois-Confais,fr FRA,MF,Troyes,20,1996,6.8,1,0,0,7,7,0,9,4,4,0,0,0,66,2,6,25,Matches
99,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,32,1985,29.3,4,0,0,23,27,1,13,41,36,0,0,0,309,28,15,65.1,Matches
100,Diego Contento\Diego-Contento,de GER,DFFW,Bordeaux,27,1990,1.2,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,,Matches
101,Jérémy Cordoval\Jeremy-Cordoval,GPE,DF,Troyes,27,1990,10.2,1,0,0,6,8,0,15,13,16,0,0,0,86,1,4,20,Matches
102,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MFFW,Strasbourg,30,1987,15.3,2,0,0,24,34,1,24,14,20,0,0,0,106,26,28,48.1,Matches
103,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWMF,Lyon,20,1996,14.1,1,0,0,14,21,3,27,10,12,1,0,0,100,5,15,25,Matches
104,Quentin Cornette\Quentin-Cornette,fr FRA,FWMF,Amiens,23,1994,5,1,0,0,9,10,0,5,7,6,0,0,0,37,0,2,0,Matches
105,Nuno da Costa\Nuno-da-Costa,cv CPV,FWMF,Strasbourg,26,1991,19.2,4,1,0,33,35,9,20,16,30,1,1,0,112,18,24,42.9,Matches
106,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,30,1987,36,1,0,0,1,3,0,0,0,0,0,0,0,176,0,0,,Matches
107,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,25,1991,3.8,0,0,0,7,2,3,6,2,3,0,0,0,16,10,12,45.5,Matches
108,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Angers,21,1996,9.3,1,0,0,16,20,1,7,8,18,0,0,0,73,4,3,57.1,Matches
109,Nicolas Cozza\Nicolas-Cozza,fr FRA,DFMF,Montpellier,18,1999,6.4,2,0,0,7,6,0,14,9,13,1,1,0,69,3,2,60,Matches
110,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Angers,22,1995,11.4,6,1,0,23,20,7,3,4,7,0,0,0,29,28,31,47.5,Matches
111,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Caen,22,1995,8.1,2,0,0,16,11,3,1,1,1,1,0,0,34,13,19,40.6,Matches
112,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,22,1995,10.5,2,0,0,4,18,0,15,14,8,0,0,0,96,7,3,70,Matches
113,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Caen,29,1988,31.5,7,0,0,36,24,5,0,61,28,1,1,3,414,33,20,62.3,Matches
114,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,20,1997,10.5,1,0,0,13,1,0,5,13,10,0,0,0,91,1,6,14.3,Matches
115,Bryan Dabo\Bryan-Dabo,bf BFA,MFFW,Saint-Étienne,25,1992,14.3,10,0,0,28,39,2,9,14,12,1,0,0,123,10,9,52.6,Matches
116,Dante\Dante,br BRA,DF,Nice,33,1983,32.4,10,2,1,28,26,1,2,43,21,0,0,1,316,18,11,62.1,Matches
117,Romain Danzé\Romain-Danze,fr FRA,DF,Rennes,31,1986,7.6,2,0,0,6,1,0,10,13,6,0,0,0,71,6,4,60,Matches
118,Stéphane Darbion\Stephane-Darbion,fr FRA,FWMF,Troyes,33,1984,18.9,2,0,0,15,31,5,61,18,5,1,0,0,128,2,8,20,Matches
119,Sergi Darder\Sergi-Darder,es ESP,MF,Lyon,23,1993,2.3,2,2,1,3,0,0,0,0,3,0,0,0,23,3,0,100,Matches
120,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Guingamp,28,1988,21.6,7,2,1,39,24,4,19,33,43,0,0,0,219,22,24,47.8,Matches
121,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,32,1985,14.6,1,0,0,21,13,2,38,34,11,0,1,1,177,25,11,69.4,Matches
122,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,MF,Caen,31,1986,6.5,3,0,0,9,9,0,6,9,3,0,0,0,77,3,6,33.3,Matches
123,Andy Delort\Andy-Delort,dz ALG,FW,Toulouse,25,1991,25.9,5,0,0,63,33,29,83,9,10,0,2,0,102,46,51,47.4,Matches
124,Jessy Deminguet\Jessy-Deminguet,fr FRA,MFFW,Caen,19,1998,5.9,2,0,0,6,9,3,25,6,11,0,0,0,52,4,3,57.1,Matches
125,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,23,1994,28.4,3,0,0,32,50,11,84,12,9,0,0,0,156,4,11,26.7,Matches
126,Mathieu Deplagne\Mathieu-Deplagne,fr FRA,DF,Troyes,25,1991,26.8,5,2,1,21,28,0,34,53,26,0,1,1,256,18,22,45,Matches
127,Ángel Di María\Angel-Di-Maria,ar ARG,FW,Paris S-G,29,1988,23.4,1,0,0,7,13,15,110,10,9,0,0,0,113,0,2,0,Matches
128,Fallou Diagne\Fallou-Diagne,sn SEN,DFMF,Metz,27,1989,24.9,8,2,0,27,6,2,1,18,25,0,0,0,341,28,12,70,Matches
129,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Monaco,21,1996,9.5,2,1,0,14,13,10,21,16,11,0,0,0,44,5,9,35.7,Matches
130,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Lyon,20,1996,8.1,2,0,0,8,7,0,0,10,3,0,0,0,76,7,4,63.6,Matches
131,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,25,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
132,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,22,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
133,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Guingamp,31,1986,15.4,7,0,0,48,39,5,2,26,29,0,2,0,181,31,15,67.4,Matches
134,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,32,1985,6.7,4,0,0,22,4,0,2,8,6,0,0,0,55,4,5,44.4,Matches
135,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,27,1989,30.9,4,0,0,30,24,4,28,54,38,0,1,0,317,25,19,56.8,Matches
136,Thomas Didillon\Thomas-Didillon,fr FRA,GK,Metz,21,1995,9,0,0,0,0,3,0,0,0,0,0,0,0,47,0,0,,Matches
137,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,34,1983,18,4,0,0,25,18,1,17,22,26,0,0,0,240,6,9,40,Matches
138,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Troyes,26,1991,13,4,0,0,13,8,1,14,14,17,0,0,0,127,2,5,28.6,Matches
139,Ismaël Diomandé\Ismael-Diomande,ci CIV,DFMF,Caen,24,1992,7.9,1,1,0,8,2,0,2,11,6,0,1,0,55,2,3,40,Matches
140,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,24,1992,10.4,0,0,0,13,17,6,10,1,2,3,0,0,33,5,15,25,Matches
141,Issa Diop\Issa-Diop,fr FRA,DF,Toulouse,20,1997,34,8,0,0,30,23,1,3,66,29,0,0,1,332,17,10,63,Matches
142,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,19,1997,14.9,4,0,0,27,16,3,5,19,21,0,0,0,164,3,3,50,Matches
143,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,24,1992,26.8,2,0,0,23,9,0,18,32,23,0,0,0,258,22,10,68.8,Matches
144,Alexander Djiku\Alexander-Djiku,gh GHA,DF,Caen,22,1994,28,10,0,0,41,39,0,5,67,36,0,0,0,394,24,17,58.5,Matches
145,Papy Djilobodji\Papy-Djilobodji,sn SEN,DF,Dijon,28,1988,30,4,1,0,22,28,0,6,60,25,0,2,0,389,23,15,60.5,Matches
146,Keagan Dolly\Keagan-Dolly,za RSA,FWMF,Montpellier,24,1993,9.8,1,0,0,5,2,2,31,4,8,0,0,0,59,2,2,50,Matches
147,Jean-Luc Dompé\Jean-Luc-Dompe,fr FRA,MF,Amiens,21,1995,0.3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,,Matches
148,Dória\Doria,br BRA,DF,Marseille,22,1994,0.9,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,,Matches
149,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,FW,Troyes,19,1997,0.9,1,0,0,1,1,0,0,0,1,0,0,0,9,0,1,0,Matches
150,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Metz,29,1988,27.9,2,0,0,27,37,5,159,33,23,0,0,0,163,5,5,50,Matches
151,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,23,1993,18.9,1,0,0,18,10,2,24,27,10,0,0,0,112,3,2,60,Matches
152,Leo Dubois\Leo-Dubois,fr FRA,DF,Nantes,22,1994,33.6,6,0,0,22,31,2,156,47,24,1,1,0,342,18,11,62.1,Matches
153,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,24,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
154,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,28,1989,11.4,5,0,0,21,14,0,32,13,6,1,0,0,94,3,10,23.1,Matches
155,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,20,1997,16.9,2,0,0,14,9,0,11,34,8,0,1,0,216,31,12,72.1,Matches
156,Patrice Evra\Patrice-Evra,fr FRA,DF,Marseille,36,1981,3.9,2,0,0,4,2,3,3,6,3,0,0,0,42,5,2,71.4,Matches
157,Valentin Eysseric\Valentin-Eysseric,fr FRA,FWMF,Nice,25,1992,1,0,0,0,2,0,1,4,6,0,0,0,0,1,0,1,0,Matches
158,Fabinho\Fabinho,br BRA,MF,Monaco,23,1993,34,8,0,0,59,67,1,9,39,61,1,0,0,476,28,18,60.9,Matches
159,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,31,1986,23.6,1,0,0,42,50,10,7,13,7,0,0,1,85,15,23,39.5,Matches
160,Simon Falette\Simon-Falette,gn GUI,DF,Metz,25,1992,1,0,0,0,2,0,0,0,3,0,0,0,0,11,0,0,,Matches
161,Imad Faraj\Imad-Faraj,ma MAR,DFMF,Lille,18,1999,1.8,0,0,0,2,3,1,5,2,4,0,0,0,13,0,0,,Matches
162,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Lyon,24,1993,27.5,8,0,0,68,106,17,60,11,34,1,0,0,169,8,12,40,Matches
163,Julien Féret\Julien-Feret,fr FRA,MF,Caen,35,1982,34,3,0,0,23,32,1,52,54,25,1,1,0,458,42,25,62.7,Matches
164,Brian Fernández\Brian-Fernandez,ar ARG,FW,Metz,22,1994,1.4,0,0,0,1,4,6,1,0,0,0,0,0,5,0,1,0,Matches
165,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,25,1992,7.1,4,0,0,19,9,0,3,9,13,0,0,0,73,1,4,20,Matches
166,Afonso Figueiredo\Afonso-Figueiredo,pt POR,DFFW,Rennes,24,1993,2.5,1,0,0,3,7,0,3,2,1,0,0,0,26,1,1,50,Matches
167,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,24,1992,8.3,3,1,0,18,8,0,7,8,13,0,0,0,70,8,11,42.1,Matches
168,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,25,1992,1.7,1,0,0,3,0,0,0,1,1,0,0,0,30,0,0,,Matches
