Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Napoli,24,1991,13,7,515,5.7,3,0,2,1,1,0,1,0.52,0,0.52,0.35,0.35,Matches
Gabriel\Gabriel,br BRA,GK,Cagliari,23,1992,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,22,1994,18,18,1575,17.5,2,1,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,Matches
Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Atalanta,22,1994,13,8,777,8.6,0,1,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches
Serge Gakpé\Serge-Gakpe,tg TOG,FW,Genoa,29,1987,7,2,311,3.5,1,0,1,0,0,1,0,0.29,0,0.29,0.29,0.29,Matches
Serge Gakpé\Serge-Gakpe,tg TOG,FW,Chievo,29,1987,8,1,256,2.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Alessandro Gamberini\Alessandro-Gamberini,it ITA,DF,Chievo,34,1981,20,20,1666,18.5,1,0,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
Daniele Gastaldello\Daniele-Gastaldello,it ITA,DF,Bologna,33,1983,24,24,1920,21.3,0,1,0,0,0,12,3,0,0.05,0.05,0,0.05,Matches
Alessandro Gazzi\Alessandro-Gazzi,it ITA,MF,Palermo,33,1983,25,22,1940,21.6,0,0,0,0,0,8,4,0,0,0,0,0,Matches
Marcello Gazzola\Marcello-Gazzola,it ITA,DF,Sassuolo,31,1985,16,16,1372,15.2,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Santiago Gentiletti\Santiago-Gentiletti,ar ARG,DF,Genoa,31,1985,15,15,1217,13.5,0,1,0,0,0,2,2,0,0.07,0.07,0,0.07,Matches
Gerson\Gerson,br BRA,MF,Roma,19,1997,4,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Faouzi Ghoulam\Faouzi-Ghoulam,dz ALG,DF,Napoli,25,1991,29,26,2382,26.5,0,6,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
Emanuele Giaccherini\Emanuele-Giaccherini,it ITA,FW,Napoli,31,1985,16,1,298,3.3,1,0,1,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
Niccolò Giannetti\Niccolo-Giannetti,it ITA,FW,Cagliari,25,1991,11,1,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Gilardino\Alberto-Gilardino,it ITA,FW,Pescara,34,1982,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Gilardino\Alberto-Gilardino,it ITA,FW,Empoli,34,1982,14,5,600,6.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Eddy Gnahoré\Eddy-Gnahore,fr FRA,MF,Crotone,22,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Assane Gnoukouri\Assane-Gnoukouri,ci CIV,MF,Inter,19,1996,4,0,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
