Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,21-240,1999,4.2,1,0,0,5,3,0,0,1,4,0,0,0,47,Matches
Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,26-080,1995,21.4,4,0,0,16,40,0,39,36,29,0,0,0,264,Matches
Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,28-067,1993,2.5,1,0,0,6,4,0,1,2,2,0,0,0,30,Matches
Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,28-228,1992,1.5,0,0,0,2,0,0,1,0,8,0,0,0,11,Matches
Klauss\Klauss,br BRA,FW,Hoffenheim,24-059,1997,0.6,0,0,0,3,1,0,0,0,0,0,0,0,4,Matches
Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,28-232,1992,3.1,0,0,0,5,1,0,7,3,4,0,0,0,31,Matches
Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20-297,2000,13.3,1,0,0,13,17,0,6,3,14,2,0,0,75,Matches
Fabian Klos\Fabian-Klos,de GER,FW,Arminia,33-148,1987,27.2,4,0,0,46,51,14,23,10,12,0,0,0,119,Matches
Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24-331,1996,13.2,2,0,0,5,7,0,6,17,10,0,0,0,139,Matches
Justin Kluivert\Justin-Kluivert,nl NED,FWMF,RB Leipzig,21-359,1999,7.2,2,0,0,12,12,5,23,3,3,0,0,0,46,Matches
Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24-338,1996,8,0,0,0,3,5,0,7,11,5,0,0,1,75,Matches
Ansgar Knauff\Ansgar-Knauff,de GER,MFFW,Dortmund,19-109,2002,0.7,0,0,0,3,1,0,6,1,0,0,0,0,4,Matches
Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28-342,1992,30.8,4,0,0,35,12,4,0,38,32,0,1,0,405,Matches
Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,23-144,1997,31,0,0,0,0,5,0,0,0,0,0,0,0,186,Matches
Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,27-088,1994,2.9,1,0,0,9,5,0,4,5,11,0,0,0,39,Matches
Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,27-088,1994,11,3,0,0,22,16,0,2,23,21,0,0,0,133,Matches
Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27-313,1993,13.8,4,0,0,18,11,2,19,31,9,0,1,0,122,Matches
Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21-339,1999,7,1,0,0,10,14,0,0,10,5,0,1,0,67,Matches
Filip Kosti?\Filip-Kostic,rs SRB,DF,Eint Frankfurt,28-179,1992,25.2,3,0,0,19,19,4,196,28,29,0,0,0,214,Matches
Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18-326,2002,1.3,1,0,0,3,4,0,0,1,1,0,0,0,13,Matches
Andrej Kramari?\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29-314,1991,23.4,2,0,0,4,39,9,51,10,5,0,0,0,135,Matches
Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,30-069,1991,21.7,5,0,0,30,19,0,3,34,34,0,0,0,261,Matches
Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,33-041,1988,15.8,0,0,0,5,12,6,24,5,4,0,0,0,84,Matches
Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,28-242,1992,7.7,2,0,0,13,9,0,13,11,12,0,0,0,82,Matches
Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25-277,1995,5.7,1,0,0,10,9,1,3,7,6,0,0,0,74,Matches
Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22-319,1998,13.9,5,0,0,36,24,0,3,15,26,0,0,0,182,Matches
Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,21-059,2000,1.2,1,0,0,2,1,0,2,0,0,0,0,0,4,Matches
Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,21-023,2000,25.8,5,0,0,22,24,1,7,59,33,0,0,0,320,Matches
Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,28-245,1992,27.8,2,0,0,25,20,1,77,34,35,1,2,0,194,Matches
Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,36-113,1985,2.7,0,0,0,0,0,0,0,0,0,0,0,0,9,Matches
Danny Latza\Danny-Latza,de GER,MF,Mainz 05,31-143,1989,18.3,8,0,0,30,24,1,16,25,30,0,0,0,207,Matches
Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,25-036,1996,12.2,3,0,0,7,11,2,24,15,7,0,0,0,98,Matches
Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,30-084,1991,3.3,0,0,0,10,2,0,4,6,4,0,0,0,35,Matches
Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,26-219,1994,22.6,3,0,0,27,18,2,62,28,38,0,0,0,241,Matches
Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,32-251,1988,24.3,4,0,0,41,24,18,19,6,12,2,0,0,106,Matches
Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24-292,1996,29.3,3,0,0,12,34,3,1,33,14,0,0,0,266,Matches
Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22-337,1998,4.2,0,0,0,5,12,1,9,1,5,0,0,0,28,Matches
