Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joshua Kimmich\Joshua-Kimmich,de GER,DFMF,Bayern Munich,23,1995,34,34,3060,34,2,13,2,0,0,4,0,0.06,0.38,0.44,0.06,0.44,Matches
Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,25,1993,33,33,2816,31.3,5,4,5,0,0,5,0,0.16,0.13,0.29,0.16,0.29,Matches
Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,25,1992,15,5,443,4.9,1,1,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,Matches
Tim Kleindienst\Tim-Kleindienst,de GER,FW,Freiburg,22,1995,4,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,22,1996,26,22,2003,22.3,5,1,5,0,0,1,0,0.22,0.04,0.27,0.22,0.27,Matches
Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,22,1996,10,7,592,6.6,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,26,1992,31,31,2790,31,3,0,3,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Törles Knöll\Torles-Knoll,de GER,FW,Nürnberg,20,1997,16,2,370,4.1,1,0,1,0,0,0,0,0.24,0,0.24,0.24,0.24,Matches
Gregor Kobel\Gregor-Kobel,ch SUI,GK,Hoffenheim,20,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gregor Kobel\Gregor-Kobel,ch SUI,GK,Augsburg,20,1997,16,16,1389,15.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robin Koch\Robin-Koch,de GER,MFDF,Freiburg,22,1996,24,21,1901,21.1,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Dominik Kohr\Dominik-Kohr,de GER,MF,Leverkusen,24,1994,18,10,973,10.8,0,2,0,0,0,4,0,0,0.18,0.18,0,0.18,Matches
Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,19,1999,28,27,2431,27,1,1,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches
Yevhen Konoplyanka\Yevhen-Konoplyanka,ua UKR,FW,Schalke 04,28,1989,13,7,656,7.3,1,1,1,0,0,0,1,0.14,0.14,0.27,0.14,0.27,Matches
Pascal Köpke\Pascal-Kopke,de GER,FWMF,Hertha BSC,22,1995,7,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julian Korb\Julian-Korb,de GER,DF,Hannover 96,26,1992,12,11,1006,11.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Filip Kosti?\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,25,1992,34,33,2956,32.8,6,10,6,0,0,4,0,0.18,0.3,0.49,0.18,0.49,Matches
Dawid Kownacki\Dawid-Kownacki,pl POL,MFFW,Düsseldorf,21,1997,10,7,575,6.4,4,0,4,0,0,2,0,0.63,0,0.63,0.63,0.63,Matches
Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,30,1988,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrej Kramari?\Andrej-Kramaric,hr CRO,MFFW,Hoffenheim,27,1991,30,28,2396,26.6,17,4,12,5,6,2,0,0.64,0.15,0.79,0.45,0.6,Matches
Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,27,1991,18,13,1136,12.6,2,1,2,0,0,6,0,0.16,0.08,0.24,0.16,0.24,Matches
Max Kruse\Max-Kruse,de GER,FWMF,Werder Bremen,30,1988,32,32,2832,31.5,11,9,8,3,3,0,0,0.35,0.29,0.64,0.25,0.54,Matches
Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,25,1992,16,15,1184,13.2,0,2,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
Yuya Kubo\Yuya-Kubo,jp JPN,FWMF,Nürnberg,24,1993,22,15,1357,15.1,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,23,1995,29,23,1909,21.2,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,18,2000,13,3,425,4.7,2,0,2,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches
Konrad Laimer\Konrad-Laimer,at AUT,MFDF,RB Leipzig,21,1997,29,20,1874,20.8,1,1,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,Matches
Michael Lang\Michael-Lang,ch SUI,DF,M'Gladbach,27,1991,17,15,1255,13.9,1,0,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,30,1988,21,15,1414,15.7,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Danny Latza\Danny-Latza,de GER,MF,Mainz 05,28,1989,24,22,1863,20.7,0,3,0,0,0,4,0,0,0.14,0.14,0,0.14,Matches
Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Hertha BSC,22,1996,31,31,2741,30.5,3,6,3,0,0,6,0,0.1,0.2,0.3,0.1,0.3,Matches
Mathew Leckie\Mathew-Leckie,au AUS,FWMF,Hertha BSC,27,1991,18,10,941,10.5,2,0,2,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
Tim Leibold\Tim-Leibold,de GER,DF,Nürnberg,24,1993,32,32,2765,30.7,0,2,0,0,1,6,1,0,0.07,0.07,0,0.07,Matches
Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,29,1988,33,33,2957,32.9,22,7,19,3,4,2,0,0.67,0.21,0.88,0.58,0.79,Matches
Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,22,1996,14,7,614,6.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Davor Lovren\Davor-Lovren,hr CRO,MFFW,Düsseldorf,19,1998,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eduard Löwen\Eduard-Lowen,de GER,MFFW,Nürnberg,21,1997,22,17,1623,18,3,2,3,0,0,3,0,0.17,0.11,0.28,0.17,0.28,Matches
Derrick Luckassen\Derrick-Luckassen,nl NED,DF,Hertha BSC,23,1995,4,2,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Düsseldorf,20,1997,31,22,1972,21.9,10,3,6,4,6,6,0,0.46,0.14,0.59,0.27,0.41,Matches
Fabian Lustenberger\Fabian-Lustenberger,ch SUI,DFMF,Hertha BSC,30,1988,29,24,2172,24.1,0,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,31,1987,15,14,1311,14.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pablo Maffeo\Pablo-Maffeo,es ESP,DFMF,Stuttgart,21,1997,8,8,597,6.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,19,1999,24,23,2064,22.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Linton Maina\Linton-Maina,de GER,MFFW,Hannover 96,19,1999,20,17,1414,15.7,1,3,1,0,0,0,0,0.06,0.19,0.25,0.06,0.25,Matches
Yunus Mall?\Yunus-Malli,tr TUR,MFFW,Wolfsburg,26,1992,21,5,701,7.8,1,1,0,1,1,0,0,0.13,0.13,0.26,0,0.13,Matches
Georg Margreitter\Georg-Margreitter,at AUT,DF,Nürnberg,29,1988,27,22,2064,22.9,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,21,1997,33,32,2878,32,0,3,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches
Javi Martínez\Javi-Martinez,es ESP,MF,Bayern Munich,29,1988,21,16,1309,14.5,3,0,3,0,0,3,0,0.21,0,0.21,0.21,0.21,Matches
Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,25,1993,14,11,993,11,0,2,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,21,1997,34,29,2483,27.6,14,2,14,0,0,2,0,0.51,0.07,0.58,0.51,0.58,Matches
Christian Mathenia\Christian-Mathenia,de GER,GK,Nürnberg,26,1992,22,22,1932,21.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,17,2000,7,1,189,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philipp Max\Philipp-Max,de GER,DFMF,Augsburg,24,1993,30,30,2569,28.5,4,2,4,0,0,1,0,0.14,0.07,0.21,0.14,0.21,Matches
Alexandru Maxim\Alexandru-Maxim,ro ROU,MF,Mainz 05,28,1990,22,3,579,6.4,1,0,1,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Weston McKennie\Weston-McKennie,us USA,MFDF,Schalke 04,19,1998,24,19,1746,19.4,1,4,1,0,0,6,0,0.05,0.21,0.26,0.05,0.26,Matches
Admir Mehmedi\Admir-Mehmedi,ch SUI,FWMF,Wolfsburg,27,1991,26,20,1692,18.8,6,5,6,0,0,1,0,0.32,0.27,0.59,0.32,0.59,Matches
Hamza Mendyl\Hamza-Mendyl,ma MAR,DFMF,Schalke 04,20,1997,9,7,544,6,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Virgil Misidjan\Virgil-Misidjan,nl NED,FWMF,Nürnberg,25,1993,23,17,1543,17.1,1,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches
Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,Hertha BSC,21,1997,25,20,1804,20,1,1,1,0,0,3,1,0.05,0.05,0.1,0.05,0.1,Matches
