Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Michaël Ciani\Michael-Ciani,fr FRA,DF,Espanyol,32,1984,0.6,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,27,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Clerc\Carlos-Clerc,es ESP,DFMF,Osasuna,24,1992,21.6,2,0,0,17,8,1,104,40,32,0,0,0,Matches
Fábio Coentrão\Fabio-Coentrao,pt POR,DF,Real Madrid,28,1988,1.9,0,0,0,2,1,0,7,1,0,0,0,0,Matches
Emre Çolak\Emre-Colak,tr TUR,MF,La Coruña,25,1991,27.4,5,0,0,28,67,4,187,13,36,1,0,0,Matches
David Concha\David-Concha,es ESP,MF,Real Sociedad,19,1996,1.4,0,0,0,2,3,0,4,2,0,0,0,0,Matches
Duje ?op\Duje-Cop,hr CRO,FW,Sporting Gijón,26,1990,25.2,6,0,0,37,26,4,21,9,7,2,0,0,Matches
Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,21,1995,13.8,6,0,0,20,16,4,27,13,25,2,1,0,Matches
Joaquín Correa\Joaquin-Correa,ar ARG,MFFW,Sevilla,21,1994,14.6,6,0,0,29,43,6,22,12,20,1,0,0,Matches
Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,28,1988,29.8,13,2,1,42,47,5,81,49,55,0,1,0,Matches
David Costas\David-Costas,es ESP,DF,Celta Vigo,21,1995,1,1,0,0,1,0,0,0,1,1,0,1,0,Matches
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,32,1984,36,5,0,0,0,9,0,0,7,1,0,0,0,Matches
Isaac Cuenca\Isaac-Cuenca,es ESP,MFDF,Granada,25,1991,19.4,4,0,0,22,27,3,39,28,27,0,0,0,Matches
Danilo\Danilo,br BRA,DF,Real Madrid,25,1991,16.5,2,0,0,18,22,2,31,37,34,0,0,0,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DF,Málaga,35,1980,7.6,3,0,0,6,6,0,1,13,8,0,0,0,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DF,Espanyol,35,1980,1.1,0,0,0,0,1,0,1,6,1,0,0,0,Matches
Deyverson\Deyverson,br BRA,FW,Alavés,25,1991,28.6,14,0,0,50,66,27,6,23,30,1,1,0,Matches
