Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Costel Pantilimon\Costel-Pantilimon,ro ROU,GK,La Coruña,30,1987,6,6,540,6,9,1.5,23,16,65.2,3,0,3,1,16.7,1,1,0,0,0,Matches
Andrés Prieto\Andres-Prieto,es ESP,GK,Málaga,23,1993,4,4,360,4,10,2.5,18,10,55.6,0,0,4,0,0,2,2,0,0,0,Matches
Toño Ramírez\Tono-Ramirez,es ESP,GK,Real Sociedad,30,1986,4,3,316,3.5,6,1.71,11,5,45.5,1,0,2,1,33.3,0,0,0,0,,Matches
Sergio Rico\Sergio-Rico,es ESP,GK,Sevilla,23,1993,24,23,2157,24,39,1.63,90,54,60,10,4,10,9,39.1,5,3,1,1,25,Matches
Asier Riesgo\Asier-Riesgo,es ESP,GK,Eibar,33,1983,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
Roberto\Roberto,es ESP,GK,Málaga,31,1986,34,34,3060,34,51,1.5,144,97,67.4,5,5,24,6,17.6,5,4,1,0,20,Matches
Rubén\Ruben,es ESP,GK,La Coruña,33,1984,28,27,2480,27.6,58,2.1,137,83,59.1,3,10,15,4,14.8,3,2,1,0,33.3,Matches
Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Real Sociedad,25,1992,26,26,2340,26,45,1.73,100,60,59,10,5,11,6,23.1,5,4,1,0,20,Matches
Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,20,1996,1,1,60,0.7,1,1.5,2,2,50,0,0,0,0,0,0,0,0,0,,Matches
David Soria\David-Soria,es ESP,GK,Sevilla,24,1993,15,15,1263,14,19,1.35,57,41,70.2,7,3,4,5,33.3,3,2,0,1,0,Matches
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,25,1992,37,37,3330,37,28,0.76,129,103,79.8,27,9,1,19,51.4,2,2,0,0,0,Matches
Przemys?aw Tyto?\Przemyslaw-Tyton,pl POL,GK,La Coruña,30,1987,2,1,98,1.1,4,3.67,5,1,20,0,0,1,0,0,0,0,0,0,,Matches
Francis Uzoho\Francis-Uzoho,ng NGA,GK,La Coruña,18,1998,2,2,180,2,2,1,9,8,88.9,0,1,1,1,50,1,1,0,0,0,Matches
Koke Vegas\Koke-Vegas,es ESP,GK,Levante,21,1995,1,1,90,1,4,4,8,4,50,0,0,1,0,0,0,0,0,0,,Matches
Axel Werner\Axel-Werner,ar ARG,GK,Atlético Madrid,21,1996,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
Yoel\Yoel,es ESP,GK,Eibar,28,1988,1,1,90,1,1,1,5,5,80,1,0,0,0,0,0,0,0,0,,Matches
Luca Zidane\Luca-Zidane,fr FRA,GK,Real Madrid,19,1998,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,,Matches
