Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,32-340,1988,0.4,0,0,0,0,1,0,0,0,2,0,0,0,4,Matches
Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,25-101,1996,23,6,0,0,10,25,7,51,16,9,0,1,0,164,Matches
Juan Jesus\Juan-Jesus,br BRA,DF,Roma,29-324,1991,1.2,0,0,0,3,0,0,0,0,1,0,0,0,11,Matches
Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,FWMF,Sassuolo,21-073,2000,17,6,0,0,21,16,4,22,15,20,0,0,0,103,Matches
Musa Juwara\Musa-Juwara,gm GAM,DF,Bologna,19-125,2001,0.4,1,0,0,1,1,0,2,0,0,0,0,0,4,Matches
Nikola Kalini?\Nikola-Kalinic,hr CRO,FW,Hellas Verona,33-115,1988,8,0,0,0,17,19,8,2,0,1,0,0,0,22,Matches
Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,20-329,2000,8.1,1,0,0,9,2,0,12,15,13,0,1,0,79,Matches
Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,22-296,1998,14.4,3,0,0,14,13,8,20,7,20,1,0,0,79,Matches
Isaac Karamoko\Isaac-Karamoko,fr FRA,DF,Sassuolo,18-339,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,21-249,1999,0.4,0,0,0,0,1,0,0,0,1,0,0,0,2,Matches
Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,26-078,1995,24.1,1,0,0,30,11,3,40,30,26,0,0,0,162,Matches
Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,24-132,1996,30.8,8,0,0,59,31,1,14,31,36,1,1,0,312,Matches
Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,19-237,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,Matches
Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,25-084,1996,13.7,1,0,0,12,5,2,41,11,23,0,0,0,104,Matches
Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,32-035,1989,22.6,2,0,0,23,9,1,1,31,18,0,0,0,188,Matches
Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,35-182,1985,7.5,1,0,0,8,1,0,0,6,5,0,1,0,67,Matches
Justin Kluivert\Justin-Kluivert,nl NED,FWMF,Roma,21-360,1999,0.2,0,0,0,1,0,0,2,0,0,0,0,0,5,Matches
Aleksandr Kokorin\Aleksandr-Kokorin,ru RUS,FWMF,Fiorentina,30-042,1991,0.9,1,0,0,1,0,0,0,1,0,0,0,0,5,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,35-171,1985,4.3,0,0,0,3,4,0,8,2,5,0,1,0,63,Matches
Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,23-145,1997,10.1,4,0,0,23,29,5,5,3,10,0,0,0,46,Matches
Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,29-314,1991,23.5,10,1,1,27,9,0,6,29,29,0,0,0,208,Matches
Viktor Kovalenko\Viktor-Kovalenko,ua UKR,FW,Atalanta,25-075,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rade Kruni?\Rade-Krunic,ba BIH,MFFW,Milan,27-205,1993,7.2,2,0,0,10,18,2,2,4,13,0,1,0,54,Matches
Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,34-063,1987,24.1,7,0,0,63,68,4,13,25,39,0,0,0,172,Matches
Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Juventus,21-005,2000,18.1,6,0,0,32,25,3,40,9,20,0,0,0,123,Matches
Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Roma,21-081,2000,10.9,5,0,0,21,9,0,1,11,6,0,0,0,79,Matches
Jasmin Kurti?\Jasmin-Kurtic,si SVN,MF,Parma,32-110,1989,26.8,4,0,0,38,33,3,47,28,30,0,0,0,211,Matches
Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,25-055,1996,3.8,0,0,0,5,6,2,4,4,3,0,0,0,13,Matches
Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,24-000,1997,2.8,0,0,0,5,3,2,0,0,3,0,0,0,16,Matches
Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,31-082,1990,24.3,2,0,0,40,55,26,15,7,17,3,0,0,103,Matches
Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,36-355,1984,31.8,8,0,0,33,14,1,3,41,21,0,1,0,305,Matches
Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,28-263,1992,12.3,1,0,0,20,11,9,10,7,3,0,0,0,54,Matches
Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Hellas Verona,28-263,1992,12.3,0,0,0,24,19,20,7,4,0,0,0,0,41,Matches
Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,31-324,1989,6.9,1,0,0,9,14,0,11,12,8,0,0,0,46,Matches
Darko Lazovi?\Darko-Lazovic,rs SRB,DF,Hellas Verona,30-227,1990,22.8,3,0,0,9,3,7,80,18,17,0,0,0,203,Matches
Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,27-152,1993,23.4,2,1,0,24,39,2,80,22,10,0,0,1,134,Matches
Rafael Leão\Rafael-Leao,pt POR,FW,Milan,21-324,1999,18.9,5,0,0,27,20,3,28,3,6,1,0,0,69,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,34-111,1987,19.7,8,0,0,40,19,0,5,41,40,0,0,0,271,Matches
Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,27-292,1993,12.9,0,0,0,16,16,3,2,14,20,0,0,0,135,Matches
Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,22-342,1998,2.6,0,0,0,10,2,0,10,8,8,0,0,0,36,Matches
Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,30-305,1990,15,2,0,0,14,14,0,44,16,24,0,0,0,134,Matches
Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,21-261,1999,20.2,4,0,0,34,17,1,4,19,16,0,0,0,186,Matches
Karol Linetty\Karol-Linetty,pl POL,MF,Torino,26-087,1995,19.3,4,0,0,30,27,1,6,15,29,0,0,0,159,Matches
Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,23-260,1997,5.5,3,0,0,4,3,1,20,5,5,0,0,0,39,Matches
Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,36-063,1985,7.4,2,0,0,20,11,3,0,4,2,0,0,0,33,Matches
Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,36-063,1985,0.6,0,0,0,3,1,0,1,0,0,0,0,0,3,Matches
Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,26-156,1994,1.7,2,0,0,5,2,0,0,1,1,0,0,0,15,Matches
Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,23-112,1998,27.1,8,0,0,46,40,0,30,39,43,1,1,0,294,Matches
Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,23-147,1997,17.8,7,0,0,21,19,0,11,22,15,0,0,0,118,Matches
Pau López\Pau-Lopez,es ESP,GK,Roma,26-138,1994,20.2,0,0,0,0,1,0,0,0,0,0,0,0,97,Matches
