Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-122,1990,9.6,2,0,0,12,11,2,12,9,7,0,0,0,78,23,19,54.8,Matches
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-233,1998,8.2,2,0,0,19,6,1,2,5,13,0,0,0,56,6,11,35.3,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-129,1994,8,2,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-227,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-333,1996,26.7,6,1,0,32,12,1,3,37,19,0,1,0,284,102,33,75.6,Matches
Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-174,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-014,1993,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-032,1990,17.2,3,0,0,19,33,14,22,7,5,0,0,0,64,48,93,34,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-061,1993,32,1,0,0,0,4,0,0,0,0,0,0,0,128,0,0,,Matches
Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-030,1992,24.9,3,0,0,32,22,4,25,27,38,0,0,0,201,6,18,25,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-208,1994,5,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-315,1989,22.3,2,0,0,13,17,14,43,5,5,0,0,1,77,26,57,31.3,Matches
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-126,1992,15.8,0,0,0,21,13,1,20,22,33,0,1,0,133,36,36,50,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-298,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-230,1991,21.1,2,0,0,40,58,5,17,24,31,0,0,0,119,23,101,18.5,Matches
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-247,1991,32.8,6,0,0,25,47,1,67,48,55,0,1,0,367,61,54,53,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-244,1989,20.5,4,0,0,29,11,4,18,28,21,0,0,0,214,49,43,53.3,Matches
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-017,1994,7.1,2,0,0,8,4,0,0,17,5,0,0,0,78,17,11,60.7,Matches
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-249,1991,13.3,1,1,0,12,3,0,0,14,14,0,0,0,114,26,17,60.5,Matches
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-051,1993,27,5,0,0,42,20,6,46,27,22,0,0,0,186,21,34,38.2,Matches
Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-287,1989,7.2,1,0,0,8,8,3,18,5,8,0,0,0,52,16,8,66.7,Matches
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-236,1993,30.2,3,0,0,32,23,16,5,13,15,3,0,0,82,48,75,39,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-305,1985,3,2,0,0,8,4,0,7,3,4,0,0,0,39,5,5,50,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-145,1993,0.5,0,0,0,2,2,1,0,0,0,0,0,0,8,3,1,75,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-145,1993,14.5,0,0,0,10,14,5,16,4,0,1,0,0,119,21,22,48.8,Matches
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-181,1989,14.4,4,0,0,42,48,17,6,4,6,1,0,0,68,52,90,36.6,Matches
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-141,1997,21.6,0,0,0,16,33,1,18,16,14,0,0,0,134,22,32,40.7,Matches
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-342,1991,23.7,4,0,0,25,6,4,4,20,15,0,1,0,231,94,41,69.6,Matches
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-283,1988,23.6,3,0,0,21,21,5,22,35,42,1,1,0,252,65,49,57,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-209,1993,7.9,0,0,0,10,5,11,7,2,3,1,0,0,33,8,23,25.8,Matches
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,25-017,1996,30.9,3,1,0,23,13,0,0,70,25,0,0,1,390,106,46,69.7,Matches
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,24-011,1997,3.8,1,0,0,4,3,0,4,5,7,0,0,0,25,1,4,20,Matches
