Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,2933,32.6,22,5,20,2,3,9,0,0.68,0.15,0.83,0.61,0.77,16.4,14.2,6.5,20.7,0.5,0.2,0.7,0.43,0.63,Matches
Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,30,1986,35,30,2477,27.5,15,5,14,1,1,9,0,0.55,0.18,0.73,0.51,0.69,13.6,12.9,4.7,17.6,0.49,0.17,0.66,0.46,0.63,Matches
Cédric Bakambu\Cedric-Bakambu,cd COD,FW,Villarreal,26,1991,15,15,1258,14,9,0,8,1,1,5,0,0.64,0,0.64,0.57,0.57,5.3,4.6,1.2,5.7,0.38,0.08,0.46,0.32,0.41,Matches
Zakaria Bakkali\Zakaria-Bakkali,be BEL,FWMF,La Coruña,21,1996,23,10,914,10.2,0,0,0,0,0,5,0,0,0,0,0,0,1.5,1.5,0.6,2,0.15,0.06,0.2,0.15,0.2,Matches
Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,28,1989,26,20,1794,19.9,16,4,15,1,1,5,0,0.8,0.2,1,0.75,0.95,11.7,11,4.9,15.9,0.58,0.25,0.83,0.55,0.79,Matches
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,1547,17.2,0,2,0,0,0,1,0,0,0.12,0.12,0,0.12,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,29,1988,31,25,2399,26.7,3,3,0,3,3,9,1,0.11,0.11,0.23,0,0.11,3.8,1.5,5.2,6.7,0.14,0.2,0.34,0.06,0.25,Matches
Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,24,1992,36,31,2672,29.7,8,3,8,0,0,4,0,0.27,0.1,0.37,0.27,0.37,10.3,10.3,3.7,14,0.35,0.12,0.47,0.35,0.47,Matches
Mariano Barbosa\Mariano-Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,1125,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,22,1995,26,16,1582,17.6,9,1,9,0,0,9,0,0.51,0.06,0.57,0.51,0.57,3,3,1.4,4.5,0.17,0.08,0.25,0.17,0.25,Matches
Antonio Barragán\Antonio-Barragan,es ESP,DFMF,Betis,30,1987,29,28,2370,26.3,0,7,0,0,0,7,0,0,0.27,0.27,0,0.27,0.3,0.3,2.3,2.6,0.01,0.09,0.1,0.01,0.1,Matches
Barri\Barri,es ESP,MFFW,Getafe,21,1995,2,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,Matches
Marc Bartra\Marc-Bartra,es ESP,DF,Betis,26,1991,16,16,1419,15.8,1,0,1,0,0,6,0,0.06,0,0.06,0.06,0.06,0.8,0.8,0.6,1.4,0.05,0.04,0.09,0.05,0.09,Matches
Borja Bastón\Borja-Baston,es ESP,FW,Málaga,24,1992,20,8,992,11,2,0,1,1,2,2,0,0.18,0,0.18,0.09,0.09,4.1,2.6,0.6,3.2,0.38,0.06,0.43,0.24,0.29,Matches
Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,22,1995,11,1,188,2.1,1,0,1,0,0,0,0,0.48,0,0.48,0.48,0.48,1.7,1.7,0.2,1.9,0.9,0.09,1,0.9,1,Matches
Paul Baysse\Paul-Baysse,fr FRA,DF,Málaga,29,1988,15,13,1241,13.8,1,0,1,0,0,1,0,0.07,0,0.07,0.07,0.07,0.8,0.8,0,0.8,0.06,0,0.06,0.06,0.06,Matches
Claudio Beauvue\Claudio-Beauvue,GPE,FW,Leganés,29,1988,28,17,1671,18.6,2,0,2,0,0,4,0,0.11,0,0.11,0.11,0.11,4.7,4.7,0.9,5.7,0.25,0.05,0.31,0.25,0.31,Matches
Bebé\Bebe,pt POR,MFFW,Eibar,27,1990,9,3,365,4.1,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.2,0.2,0.8,1.1,0.06,0.21,0.27,0.06,0.27,Matches
Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,26,1990,25,18,1701,18.9,9,3,8,1,1,2,2,0.48,0.16,0.63,0.42,0.58,10.6,9.8,2.4,12.2,0.56,0.13,0.69,0.52,0.65,Matches
Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,29,1987,32,25,2149,23.9,5,9,3,2,2,0,0,0.21,0.38,0.59,0.13,0.5,10.5,9,5.7,14.7,0.44,0.24,0.68,0.38,0.61,Matches
Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,31,1986,18,18,1457,16.2,4,0,4,0,0,5,0,0.25,0,0.25,0.25,0.25,3,3,0.1,3.1,0.18,0.01,0.19,0.18,0.19,Matches
Pedro Bigas\Pedro-Bigas,es ESP,DF,Las Palmas,26,1990,12,11,893,9.9,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,22,1995,22,22,1941,21.6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FW,Levante,21,1996,25,10,1281,14.2,6,0,6,0,0,5,0,0.42,0,0.42,0.42,0.42,6.7,6.7,1.2,7.9,0.47,0.09,0.56,0.47,0.56,Matches
Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,36,1981,15,14,1192,13.2,0,1,0,0,0,4,1,0,0.08,0.08,0,0.08,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
Celso Borges\Celso-Borges,cr CRC,MF,La Coruña,29,1988,32,26,2295,25.5,3,3,3,0,0,4,2,0.12,0.12,0.24,0.12,0.24,3.5,3.5,2.2,5.6,0.14,0.08,0.22,0.14,0.22,Matches
Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,27,1990,27,15,1364,15.2,2,3,2,0,0,2,0,0.13,0.2,0.33,0.13,0.33,1,1,2.7,3.7,0.06,0.18,0.24,0.06,0.24,Matches
Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,26,1991,30,30,2655,29.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eneko Bóveda\Eneko-Boveda,es ESP,DF,La Coruña,28,1988,8,7,667,7.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Eneko Bóveda\Eneko-Boveda,es ESP,DF,Athletic Club,28,1988,6,6,521,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.05,0.05,0,0.05,Matches
Lucas Boyé\Lucas-Boye,ar ARG,FWMF,Celta Vigo,21,1996,13,2,287,3.2,0,0,0,0,0,2,0,0,0,0,0,0,1.1,1.1,0.2,1.3,0.36,0.07,0.43,0.36,0.43,Matches
Darko Brašanac\Darko-Brasanac,rs SRB,MFFW,Leganés,25,1992,23,13,1204,13.4,2,0,2,0,0,3,0,0.15,0,0.15,0.15,0.15,1.9,1.9,0.6,2.4,0.14,0.04,0.18,0.14,0.18,Matches
Alberto Bueno\Alberto-Bueno,es ESP,FWMF,Málaga,29,1988,11,1,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.1,0.13,0.23,0.1,0.23,Matches
Burgui\Burgui,es ESP,FWMF,Alavés,23,1993,23,12,1037,11.5,1,1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,1.7,2.6,0.07,0.15,0.23,0.07,0.23,Matches
Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,29,1988,31,30,2588,28.8,1,2,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,0.6,0.6,1.6,2.2,0.02,0.05,0.08,0.02,0.08,Matches
Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,25,1992,20,18,1638,18.2,2,0,2,0,0,5,0,0.11,0,0.11,0.11,0.11,2.8,2.8,0.4,3.1,0.15,0.02,0.17,0.15,0.17,Matches
Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,22,1995,14,12,1039,11.5,0,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,0,0.5,0.04,0,0.04,0.04,0.04,Matches
Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,31,1985,25,20,1875,20.8,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,1,1,0,1,0.05,0,0.05,0.05,0.05,Matches
Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,26,1991,9,8,720,8,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.02,0.04,0.02,0.04,Matches
Cala\Cala,es ESP,DF,Getafe,27,1989,20,20,1800,20,2,2,2,0,0,9,0,0.1,0.1,0.2,0.1,0.2,1.6,1.6,0.3,1.8,0.08,0.01,0.09,0.08,0.09,Matches
Carlos Calderón\Carlos-Calderon,es ESP,FW,Getafe,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Las Palmas,23,1993,37,34,3105,34.5,9,3,4,5,5,7,0,0.26,0.09,0.35,0.12,0.2,13.9,10.1,1.9,12,0.4,0.05,0.46,0.29,0.35,Matches
Víctor Camarasa\Victor-Camarasa,es ESP,MF,Betis,23,1994,24,14,1247,13.9,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,1.5,1.5,1.5,2.9,0.11,0.11,0.21,0.11,0.21,Matches
José Campaña\Jose-Campana,es ESP,MF,Levante,24,1993,35,33,2731,30.3,1,4,1,0,0,9,2,0.03,0.13,0.16,0.03,0.16,1.5,1.5,4,5.5,0.05,0.13,0.18,0.05,0.18,Matches
Joel Campbell\Joel-Campbell,cr CRC,MFFW,Betis,25,1992,8,2,216,2.4,2,0,2,0,0,1,0,0.83,0,0.83,0.83,0.83,1,1,0.4,1.4,0.45,0.17,0.62,0.45,0.62,Matches
Sergio Canales\Sergio-Canales,es ESP,MFFW,Real Sociedad,26,1991,36,20,1934,21.5,4,5,4,0,0,4,0,0.19,0.23,0.42,0.19,0.42,4.1,4.1,5.8,10,0.19,0.27,0.47,0.19,0.47,Matches
João Cancelo\Joao-Cancelo,pt POR,MF,Valencia,23,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1,0.44,0.6,1.04,0.44,1.04,Matches
