Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Alassane Pléa\Alassane-Plea,fr FRA,FW,Nice,23,1993,20.4,1,0,0,33,36,19,13,10,12,1,0,0,Matches
Morgan Poaty\Morgan-Poaty,cg CGO,DF,Montpellier,19,1997,0.6,0,1,0,2,1,0,3,2,1,0,0,0,Matches
Florentin Pogba\Florentin-Pogba,gn GUI,DF,Saint-Étienne,25,1990,15.1,1,0,0,15,9,2,34,48,25,0,0,0,Matches
Luká_ Pokorn_\Lukas-Pokorny,cz CZE,DF,Montpellier,23,1993,12.1,2,0,0,9,5,1,0,19,10,0,0,0,Matches
Pierre-Yves Polomat\Pierre-Yves-Polomat,fr FRA,DFMF,Saint-Étienne,22,1993,7.2,2,0,0,8,9,1,27,14,10,0,0,0,Matches
Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,23,1992,6.5,0,0,0,6,7,1,17,11,6,0,0,0,Matches
Sanjin Prci_\Sanjin-Prcic,ba BIH,MF,Rennes,22,1993,20.6,3,2,1,51,14,0,47,38,21,0,0,0,Matches
Nicolas de Préville\Nicolas-de-Preville,fr FRA,MFFW,Lille,25,1991,22.9,2,0,0,31,40,9,66,17,21,1,0,0,Matches
Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,20,1995,14,0,0,0,0,1,0,0,0,0,0,0,1,Matches
Sloan Privat\Sloan-Privat,fr FRA,FW,Guingamp,27,1989,9.8,1,0,0,18,13,14,1,4,3,0,0,0,Matches
Loïc Puyo\Loic-Puyo,fr FRA,FW,Nancy,27,1988,15.9,3,0,0,16,18,4,88,25,19,0,0,0,Matches
Antoine Rabillard\Antoine-Rabillard,fr FRA,FW,Marseille,20,1995,0.2,0,0,0,0,0,0,0,1,0,0,0,0,Matches
Adrien Rabiot\Adrien-Rabiot,fr FRA,MF,Paris S-G,21,1995,21.5,2,0,0,17,33,0,14,38,46,1,0,0,Matches
Rafael\Rafael,br BRA,DFMF,Lyon,26,1990,23.9,7,2,1,41,41,5,58,39,45,0,0,0,Matches
Andrea Raggi\Andrea-Raggi,it ITA,DF,Monaco,32,1984,10.7,0,0,0,6,5,4,23,14,11,0,0,0,Matches
Florian Raspentino\Florian-Raspentino,fr FRA,FW,Bastia,27,1989,3.1,0,0,0,6,2,2,2,4,3,0,0,0,Matches
Karim Rekik\Karim-Rekik,nl NED,DF,Marseille,21,1994,8.5,0,0,0,11,5,0,14,16,8,0,0,0,Matches
William Rémy\William-Remy,fr FRA,DFMF,Montpellier,25,1991,10.5,1,1,0,8,13,1,9,20,16,0,1,0,Matches
Paul Reulet\Paul-Reulet,fr FRA,GK,Caen,22,1994,2.2,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Dijon,25,1990,37,1,0,0,0,17,0,0,5,2,0,0,0,Matches
Rémy Riou\Remy-Riou,fr FRA,GK,Nantes,28,1987,22,0,0,0,0,7,0,0,2,1,0,0,0,Matches
Yohann Rivière\Yohann-Riviere,fr FRA,FW,Dijon,31,1984,1.7,2,0,0,16,5,5,3,0,1,0,0,0,Matches
Jonathan Rivierez\Jonathan-Rivierez,fr FRA,DF,Metz,27,1989,13.9,3,0,0,16,4,0,27,36,27,0,1,0,Matches
Antony Robic\Antony-Robic,fr FRA,FWMF,Nancy,30,1986,12.9,3,0,0,21,26,9,78,17,18,0,0,0,Matches
Kenny Rocha Santos\Kenny-Rocha-Santos,cv CPV,MF,Saint-Étienne,16,2000,0.7,0,0,0,2,4,0,4,1,1,0,0,0,Matches
Ronny Rodelin\Ronny-Rodelin,fr FRA,MFFW,Caen,26,1989,32.8,4,0,0,22,49,15,81,26,32,1,0,0,Matches
Diego Rolán\Diego-Rolan,uy URU,FW,Bordeaux,23,1993,19.6,3,1,0,24,42,11,19,12,23,0,0,0,Matches
Rolando\Rolando,pt POR,DF,Marseille,30,1985,29.1,2,0,0,20,17,0,1,56,40,1,0,0,Matches
Valentin Rongier\Valentin-Rongier,fr FRA,MF,Nantes,21,1994,24,1,0,0,39,19,0,8,48,95,0,0,0,Matches
Lindsay Rose\Lindsay-Rose,mu MRI,DF,Lorient,24,1992,3,0,0,0,4,1,0,0,6,4,0,1,0,Matches
Lindsay Rose\Lindsay-Rose,mu MRI,DF,Bastia,24,1992,7.7,1,0,0,6,9,0,2,7,7,0,1,0,Matches
