Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Bernardo\Bernardo,br BRA,DF,RB Leipzig,22,1995,15,2,0,0,27,19,1,19,27,19,0,1,0,192,45,17,72.6,Matches
Juan Bernat\Juan-Bernat,es ESP,DFFW,Bayern Munich,24,1993,9.9,1,0,0,11,12,1,18,11,13,0,0,0,66,11,18,37.9,Matches
Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,27,1990,6.1,4,0,0,10,5,0,0,6,9,0,1,0,66,18,7,72,Matches
Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Köln,23,1993,17.9,4,0,0,34,41,7,41,13,29,0,0,0,133,3,17,15,Matches
Pablo de Blasis\Pablo-de-Blasis,ar ARG,FWMF,Mainz 05,29,1988,18.4,2,0,0,26,23,12,15,12,21,1,0,0,122,23,37,38.3,Matches
Danny Blum\Danny-Blum,de GER,FWDF,Eint Frankfurt,26,1991,0.3,0,0,0,3,0,0,0,1,1,0,0,0,2,0,2,0,Matches
Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,28,1988,18.2,4,0,0,14,7,0,13,18,18,0,0,0,218,30,12,71.4,Matches
Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,MFFW,Eint Frankfurt,30,1987,26.2,4,0,0,72,95,14,13,15,22,0,1,0,282,43,60,41.7,Matches
Raúl Bobadilla\Raul-Bobadilla,py PAR,FWMF,M'Gladbach,30,1987,5,2,0,0,17,13,5,4,0,4,0,0,0,26,4,18,18.2,Matches
Julian Brandt\Julian-Brandt,de GER,FWMF,Leverkusen,21,1996,25.8,0,0,0,12,20,1,55,15,16,1,0,0,181,23,34,40.4,Matches
Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Stuttgart,19,1998,8.1,1,0,0,12,23,2,23,7,8,0,0,0,48,6,4,60,Matches
Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,19,1998,9.7,2,0,0,20,12,1,21,3,7,0,0,0,73,0,17,0,Matches
John Brooks\John-Brooks,us USA,DF,Wolfsburg,24,1993,8.1,1,0,0,9,9,0,0,4,11,0,0,0,64,15,12,55.6,Matches
Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,29,1988,27.8,0,0,0,16,26,5,90,27,18,0,0,0,261,25,37,40.3,Matches
Bruma\Bruma,pt POR,MFFW,RB Leipzig,22,1994,17.9,0,0,0,12,33,4,29,9,11,0,0,0,166,0,13,0,Matches
Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,25,1991,11,1,0,0,12,3,0,1,4,10,0,0,0,114,37,22,62.7,Matches
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,DF,Dortmund,18,1998,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MFDF,Stuttgart,18,1998,1.2,0,0,0,7,1,1,1,1,1,0,1,0,9,0,1,0,Matches
Onur Bulut\Onur-Bulut,tr TUR,MF,Freiburg,23,1994,0.4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,Matches
Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,28,1989,25.8,8,0,0,43,52,30,16,9,10,0,0,0,116,45,100,31,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,26,1990,33,4,0,0,2,5,0,0,0,0,0,1,0,181,0,0,,Matches
Dženis Burni?\Dzenis-Burnic,de GER,MFDF,Stuttgart,19,1998,3.4,3,1,1,14,1,0,4,1,4,0,0,0,42,1,0,100,Matches
Jakub B?aszczykowski\Jakub-Blaszczykowski,pl POL,FWMF,Wolfsburg,31,1985,5.8,0,0,0,4,8,0,15,5,13,0,0,0,36,3,5,37.5,Matches
Caiuby\Caiuby,br BRA,FWMF,Augsburg,29,1988,31.7,8,0,0,61,49,7,52,15,24,0,0,0,257,140,116,54.7,Matches
Luca Caldirola\Luca-Caldirola,it ITA,DF,Werder Bremen,26,1991,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,,Matches
Daniel Caligiuri\Daniel-Caligiuri,it ITA,DFMF,Schalke 04,29,1988,32.4,4,0,0,38,43,0,66,49,66,0,0,0,323,26,24,52,Matches
