Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Duda\Duda,pt POR,MF,Málaga,36,1980,15,2,380,4.2,1,1,1,0,0,3,0,0.24,0.24,0.47,0.24,0.47,Matches
Riza Durmisi\Riza-Durmisi,dk DEN,DF,Betis,22,1994,27,27,2382,26.5,1,4,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19,Matches
Elderson Echiéjilé\Elderson-Echiejile,ng NGA,DF,Sporting Gijón,28,1988,3,2,199,2.2,1,0,1,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,22,1994,9,4,464,5.2,0,1,0,0,0,0,1,0,0.19,0.19,0,0.19,Matches
Gorka Elustondo\Gorka-Elustondo,es ESP,DF,Athletic Club,29,1987,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,22,1993,10,8,790,8.8,1,0,1,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Málaga,19,1997,13,0,346,3.8,1,1,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches
Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,26,1990,38,31,2826,31.4,11,6,11,0,0,5,0,0.35,0.19,0.54,0.35,0.54,Matches
Juanan Entrena\Juanan-Entrena,es ESP,MF,Granada,20,1996,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javier Eraso\Javier-Eraso,es ESP,MF,Athletic Club,26,1990,6,4,374,4.2,0,1,0,0,0,2,0,0,0.24,0.24,0,0.24,Matches
Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,23,1993,30,24,2016,22.4,2,1,2,0,0,10,1,0.09,0.04,0.13,0.09,0.13,Matches
Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,26,1989,26,25,2283,25.4,0,3,0,0,0,7,0,0,0.12,0.12,0,0.12,Matches
Cristian Espinoza\Cristian-Espinoza,ar ARG,MF,Alavés,21,1995,6,1,163,1.8,0,1,0,0,0,1,0,0,0.55,0.55,0,0.55,Matches
Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Granada,18,1998,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,29,1987,32,28,2390,26.6,1,5,1,0,0,9,0,0.04,0.19,0.23,0.04,0.23,Matches
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Athletic Club,28,1987,10,7,712,7.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Edu Expósito\Edu-Exposito,es ESP,MF,La Coruña,19,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Erik Expósito\Erik-Exposito,es ESP,FW,Las Palmas,20,1996,2,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fayçal Fajr\Faycal-Fajr,ma MAR,MF,La Coruña,27,1988,24,14,1211,13.5,0,2,0,0,1,3,2,0,0.15,0.15,0,0.15,Matches
Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Alavés,27,1989,27,27,2242,24.9,2,1,2,0,0,8,4,0.08,0.04,0.12,0.08,0.12,Matches
Kiko Femenía\Kiko-Femenia,es ESP,DF,Alavés,25,1991,31,28,2499,27.8,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,29,1986,15,14,1316,14.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Atlético Madrid,30,1986,3,2,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,20,1996,3,1,91,1,1,0,1,0,0,0,0,0.99,0,0.99,0.99,0.99,Matches
Mario Fernández\Mario-Fernandez,es ESP,GK,Osasuna,28,1988,7,7,585,6.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Pablo Fernández\Pablo-Fernandez,es ESP,MF,Sporting Gijón,19,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javier Flaño\Javier-Flano,es ESP,DF,Osasuna,31,1984,4,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
