Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daley Blind\Daley-Blind,nl NED,DF,Manchester Utd,26,1990,23,20,1830,20.3,1,2,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,Matches
Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Crystal Palace,27,1989,1,0,25,0.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Yannick Bolasie\Yannick-Bolasie,cd COD,MFFW,Everton,27,1989,13,12,1023,11.4,1,4,1,0,0,2,0,0.09,0.35,0.44,0.09,0.44,Matches
Wilfried Bony\Wilfried-Bony,ci CIV,FW,Stoke City,27,1988,10,9,684,7.6,2,0,2,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
Fabio Borini\Fabio-Borini,it ITA,FWMF,Sunderland,25,1991,24,19,1741,19.3,2,0,2,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,36,1980,35,35,3150,35,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,22,1993,24,12,1104,12.3,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
Jarrod Bowen\Jarrod-Bowen,eng ENG,MF,Hull City,19,1996,7,1,181,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
George Boyd\George-Boyd,sco SCO,MF,Burnley,30,1985,36,33,2836,31.5,2,1,2,0,0,3,0,0.06,0.03,0.1,0.06,0.1,Matches
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,24,1992,14,7,719,8,1,2,1,0,0,1,0,0.13,0.25,0.38,0.13,0.38,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,33,1983,22,22,1968,21.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Miguel Britos\Miguel-Britos,uy URU,DF,Watford,31,1985,27,27,2282,25.4,1,2,1,0,0,8,4,0.04,0.08,0.12,0.04,0.12,Matches
Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,33,1982,16,16,1163,12.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,31,1984,31,27,2477,27.5,3,4,3,0,0,5,0,0.11,0.15,0.25,0.11,0.25,Matches
Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,23,1993,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sam Byram\Sam-Byram,eng ENG,DFMF,West Ham,22,1993,18,13,1249,13.9,0,1,0,0,0,6,2,0,0.07,0.07,0,0.07,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Manchester City,34,1981,17,16,1452,16.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,30,1986,32,25,2125,23.6,4,2,4,0,1,7,0,0.17,0.08,0.25,0.17,0.25,Matches
Martín Cáceres\Martin-Caceres,uy URU,DF,Southampton,29,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,30,1985,37,36,3296,36.6,6,0,6,0,0,5,0,0.16,0,0.16,0.16,0.16,Matches
Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,West Ham,22,1993,16,4,540,6,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MFFW,Everton,19,1997,11,5,347,3.9,1,0,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
Geoff Cameron\Geoff-Cameron,us USA,MFDF,Stoke City,31,1985,19,18,1629,18.1,0,2,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
Fraizer Campbell\Fraizer-Campbell,eng ENG,FW,Crystal Palace,28,1987,12,0,165,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
Emre Can\Emre-Can,de GER,MF,Liverpool,22,1994,32,26,2371,26.3,5,2,5,0,0,6,0,0.19,0.08,0.27,0.19,0.27,Matches
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,28,1988,37,37,3203,35.6,7,1,7,0,0,5,0,0.2,0.03,0.22,0.2,0.22,Matches
Baily Cargill\Baily-Cargill,eng ENG,DF,Bournemouth,21,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,35,1981,23,18,1600,17.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,27,1989,18,15,1311,14.6,7,1,7,0,0,3,0,0.48,0.07,0.55,0.48,0.55,Matches
Tom Carroll\Tom-Carroll,eng ENG,MF,Tottenham,24,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,24,1992,17,16,1387,15.4,1,2,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
Joel Castro Pereira\Joel-Castro-Pereira,pt POR,GK,Manchester Utd,20,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,27,1989,15,13,1162,12.9,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
Lee Cattermole\Lee-Cattermole,eng ENG,MF,Sunderland,28,1988,8,8,633,7,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Santi Cazorla\Santi-Cazorla,es ESP,MF,Arsenal,31,1984,8,7,618,6.9,2,1,0,2,2,2,0,0.29,0.15,0.44,0,0.15,Matches
Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,34,1982,35,35,3097,34.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Nacer Chadli\Nacer-Chadli,be BEL,MFFW,West Brom,26,1989,31,27,2134,23.7,5,4,4,1,1,2,0,0.21,0.17,0.38,0.17,0.34,Matches
Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Chelsea,21,1994,10,1,167,1.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,Middlesbrough,21,1995,24,24,2160,24,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,21,1995,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DFMF,Leicester City,19,1996,12,7,699,7.8,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,28,1988,15,4,471,5.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,25,1991,16,12,1021,11.3,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
Adam Clayton\Adam-Clayton,eng ENG,MF,Middlesbrough,27,1989,34,32,2804,31.2,0,2,0,0,0,10,0,0,0.06,0.06,0,0.06,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,26,1989,10,4,406,4.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,26,1989,17,16,1441,16,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
Gaël Clichy\Gael-Clichy,fr FRA,DF,Manchester City,31,1985,25,24,2123,23.6,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
Sam Clucas\Sam-Clucas,eng ENG,MF,Hull City,25,1990,37,36,3185,35.4,3,1,3,0,0,9,1,0.08,0.03,0.11,0.08,0.11,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,25,1991,37,37,3323,36.9,0,2,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,27,1988,26,26,2316,25.7,4,3,4,0,0,3,0,0.16,0.12,0.27,0.16,0.27,Matches
James Collins\James-Collins,wal WAL,DF,West Ham,32,1983,22,19,1655,18.4,2,0,2,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,19,1997,6,4,432,4.8,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,25,1991,38,38,3420,38,2,0,2,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,25,1991,29,22,1779,19.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,27,1989,30,25,2232,24.8,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Diego Costa\Diego-Costa,es ESP,FW,Chelsea,27,1988,35,35,3082,34.2,20,7,20,0,1,10,0,0.58,0.2,0.79,0.58,0.79,Matches
Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,24,1992,36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Liverpool,24,1992,31,28,2227,24.7,13,8,13,0,0,2,0,0.53,0.32,0.85,0.53,0.85,Matches
Aaron Cresswell\Aaron-Cresswell,eng ENG,DFMF,West Ham,26,1989,26,24,2116,23.5,0,2,0,0,0,3,2,0,0.09,0.09,0,0.09,Matches
Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,35,1981,27,13,1343,14.9,7,2,7,0,0,3,0,0.47,0.13,0.6,0.47,0.6,Matches
Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,29,1986,34,34,3060,34,4,3,4,0,0,1,0,0.12,0.09,0.21,0.12,0.21,Matches
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,29,1987,23,19,1797,20,3,1,3,0,0,2,0,0.15,0.05,0.2,0.15,0.2,Matches
Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,26,1989,18,15,1333,14.8,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ben Davies\Ben-Davies,wal WAL,DFMF,Tottenham,23,1993,23,18,1739,19.3,1,3,1,0,0,1,0,0.05,0.16,0.21,0.05,0.21,Matches
