Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Carlos Neva\Carlos-Neva,es ESP,DF,Granada,24-321,1996,20,1,0,0,7,25,1,32,32,7,0,0,0,120,11,38,22.4,Matches
Mamor Niang\Mamor-Niang,sn SEN,FWMF,Getafe,19-084,2002,0.2,0,0,0,0,1,0,0,1,1,0,0,0,2,1,4,20,Matches
Manuel Nieto\Manuel-Nieto,es ESP,FWMF,Cádiz,23-031,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,26-159,1994,19.7,8,0,0,36,13,7,26,21,46,0,0,0,169,56,55,50.5,Matches
Nino\Nino,es ESP,FWMF,Elche,40-323,1980,2.8,1,0,0,3,6,1,3,0,0,0,0,0,12,1,6,14.3,Matches
Fernando Niño\Fernando-Nino,es ESP,FW,Villarreal,20-187,2000,5.8,1,0,0,6,14,4,1,0,1,0,0,0,21,10,16,38.5,Matches
Nolito\Nolito,es ESP,MFFW,Celta Vigo,34-196,1986,24.9,6,0,0,37,38,9,24,23,33,0,1,0,157,13,36,26.5,Matches
Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,24-089,1997,19.4,6,0,0,22,9,0,1,15,16,0,3,0,169,63,32,66.3,Matches
Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22-328,1998,1.6,1,0,0,3,2,0,0,0,6,0,0,0,13,2,1,66.7,Matches
Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,32-354,1988,23.4,10,1,0,42,18,1,76,24,24,0,0,0,161,60,35,63.2,Matches
Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,28-112,1993,33,0,0,0,0,4,0,0,0,0,0,0,1,126,0,0,,Matches
Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26-292,1994,25.6,3,0,0,33,72,5,44,20,27,1,0,0,128,34,34,50,Matches
Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,25-136,1995,5,0,0,0,3,2,0,16,2,3,0,0,0,28,1,12,7.7,Matches
Shinji Okazaki\Shinji-Okazaki,jp JPN,FW,Huesca,35-013,1986,12.4,1,0,0,14,16,10,3,4,6,0,0,0,28,25,48,34.2,Matches
Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26-282,1994,17.9,4,0,0,18,18,2,43,17,22,1,0,1,166,24,27,47.1,Matches
Lucas Olaza\Lucas-Olaza,uy URU,DF,Valladolid,26-282,1994,10,3,0,0,6,12,1,19,17,6,0,0,0,78,16,12,57.1,Matches
Christian Oliva\Christian-Oliva,uy URU,MF,Valencia,24-332,1996,2,0,0,0,3,3,0,0,5,2,0,0,0,12,1,0,100,Matches
Kiko Olivas\Kiko-Olivas,es ESP,MF,Valladolid,32-251,1988,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
