Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Kevin Wimmer\Kevin-Wimmer,at AUT,DF,Tottenham,23,1992,4,3,0,0,4,1,0,1,5,2,0,0,1,Matches
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,20,1996,5.5,1,0,0,10,10,0,7,6,8,0,0,0,Matches
Philipp Wollscheid\Philipp-Wollscheid,de GER,DF,Stoke City,27,1989,2,1,0,0,1,2,1,0,4,3,0,0,0,Matches
Ben Woodburn\Ben-Woodburn,wal WAL,FW,Liverpool,16,1999,1,0,0,0,2,1,0,5,0,3,0,0,0,Matches
Matt Worthington\Matt-Worthington,eng ENG,DFMF,Bournemouth,18,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,23,1992,27.6,5,2,0,37,19,1,26,44,55,0,2,0,Matches
Claudio Yacob\Claudio-Yacob,ar ARG,MF,West Brom,29,1987,26.9,9,0,0,39,34,0,3,60,65,0,0,0,Matches
Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,27,1988,23,2,0,0,18,20,1,9,48,21,2,1,0,Matches
Ashley Young\Ashley-Young,eng ENG,DFMF,Manchester Utd,31,1985,8.4,2,0,0,9,15,1,38,15,16,0,0,0,Matches
Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,Manchester City,31,1985,11.5,2,0,0,14,15,5,15,27,28,0,0,0,Matches
Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,23,1992,33.5,8,0,0,56,120,6,106,34,56,1,0,0,Matches
Mauro Zárate\Mauro-Zarate,ar ARG,FWMF,Watford,29,1987,2.3,0,0,0,1,7,0,5,0,1,1,0,0,Matches
Simone Zaza\Simone-Zaza,it ITA,FW,West Ham,25,1991,5.1,2,0,0,11,6,6,4,3,4,0,0,0,Matches
Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Leicester City,27,1989,8.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,21,1994,2.8,0,0,0,2,2,0,2,5,6,0,0,0,Matches
Juan Zúñiga\Juan-Zuniga,co COL,DFMF,Watford,30,1985,9.2,1,0,0,5,22,0,11,19,16,1,0,0,Matches
