Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
92,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,31,1987,20.5,2,0,0,33,8,1,36,30,28,0,0,0,188,23,20,53.5,Matches
93,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,24,1994,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
94,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,25,1993,35,8,0,0,46,26,2,3,22,44,0,1,0,382,58,52,52.7,Matches
95,Louis Carnot\Louis-Carnot,fr FRA,MF,Guingamp,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
96,Lionel Carole\Lionel-Carole,fr FRA,DFMF,Strasbourg,27,1991,19.2,2,0,0,12,27,2,42,29,17,0,0,0,165,24,24,50,Matches
97,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,20,1998,0.7,0,0,0,2,0,0,0,0,3,0,0,0,5,0,0,,Matches
98,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,31,1987,18.6,1,0,0,13,16,12,10,9,7,2,0,0,72,3,6,33.3,Matches
99,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,21,1997,33,5,1,0,55,29,1,70,34,55,2,3,0,300,15,28,34.9,Matches
100,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,Monaco,28,1989,7.7,1,0,0,10,8,3,10,4,3,0,0,0,51,10,6,62.5,Matches
101,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,31,1986,20.5,2,0,0,14,18,1,38,14,35,0,0,0,182,19,17,52.8,Matches
102,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FWMF,Dijon,24,1994,10.4,1,0,0,9,12,4,21,4,6,0,0,0,78,12,22,35.3,Matches
103,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,27,1991,36,8,0,0,49,12,1,39,55,66,0,1,0,331,14,17,45.2,Matches
104,Pablo Chavarría\Pablo-Chavarria,ar ARG,FW,Reims,30,1988,21.9,3,0,0,47,24,30,29,3,19,0,0,0,81,52,77,40.3,Matches
105,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Lyon,20,1997,5,3,0,0,13,8,0,0,1,2,0,0,0,35,0,6,0,Matches
106,Laurent Ciman\Laurent-Ciman,be BEL,DF,Dijon,32,1985,8,3,0,0,11,5,0,0,4,9,0,0,0,87,14,8,63.6,Matches
107,Till Cissokho\Till-Cissokho,fr FRA,DF,Bordeaux,18,2000,0.9,0,0,0,1,1,0,0,1,1,0,0,0,6,4,0,100,Matches
108,Marcus Coco\Marcus-Coco,fr FRA,FWMF,Guingamp,22,1996,20.4,3,1,0,48,50,7,49,12,33,1,0,0,141,53,52,50.5,Matches
109,Racine Coly\Racine-Coly,sn SEN,DFMF,Nice,22,1995,5.6,2,0,0,7,7,0,9,7,3,0,0,0,51,7,8,46.7,Matches
110,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,33,1985,36.6,5,1,0,37,30,1,5,44,40,0,0,0,347,63,39,61.8,Matches
111,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MFFW,Strasbourg,31,1987,7.5,0,0,0,17,19,2,10,2,8,0,0,0,44,18,21,46.2,Matches
112,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Bordeaux,25,1993,8.8,4,0,0,39,17,8,4,1,2,0,0,0,47,52,32,61.9,Matches
113,Maxwel Cornet\Maxwel-Cornet,ci CIV,FW,Lyon,21,1996,14.2,2,0,0,8,18,9,42,6,11,0,0,0,77,11,20,35.5,Matches
114,Quentin Cornette\Quentin-Cornette,fr FRA,MFFW,Amiens,24,1994,2.3,0,0,0,3,7,1,3,1,5,0,0,0,18,1,0,100,Matches
115,Nuno da Costa\Nuno-da-Costa,cv CPV,FW,Strasbourg,27,1991,22.8,3,0,0,41,42,9,19,23,21,1,0,0,97,41,53,43.6,Matches
116,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,31,1987,37,0,0,0,0,5,0,0,0,0,0,0,0,162,0,0,,Matches
117,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,26,1991,19.5,6,1,1,55,22,20,22,2,11,1,0,0,74,86,72,54.4,Matches
118,Senou Coulibaly\Senou-Coulibaly,ml MLI,DFMF,Dijon,23,1994,4.6,1,1,0,9,1,0,0,7,5,0,0,0,47,8,5,61.5,Matches
119,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,19,1999,10.9,0,0,0,11,10,0,3,15,11,0,1,0,111,14,11,56,Matches
120,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Caen,23,1995,25.1,7,0,0,44,46,5,7,2,10,0,0,0,91,72,98,42.4,Matches
